SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1170-1188
CSI_0201:    40.4099998    
CSI_0203:    39.5499992    
CSI_0205:    39.4799995    
CSI_0207:    42.3699989    
CSI_0209:    36.5600014    
CSI_0211:    41.5999985    
CSI_0213:    36.4099998    
CSI_0215:    33.7500000    
CSI_0217:    33.6399994    
CSI_0219:    34.3100014    
CSI_0221:    27.0400009    
CSI_0223:    28.4200001    
CSI_0301:    33.9599991    
CSI_0302:    38.5099983    
CSI_0303:    39.3899994    
CSI_0304:    39.7500000    
CSI_0305:    37.2900009    
CSI_0306:    38.2999992    
CSI_0307:    39.2000008    
CSI_0308:    41.4599991    
CSI_0309:    39.6300011    
CSI_0310:    41.4399986    
CSI_0311:    41.4700012    
CSI_0312:    38.8699989    
CSI_0313:    34.7000008    
CSI_0314:    38.4599991    
CSI_0315:    36.9799995    
CSI_0316:    33.2999992    
CSI_0317:    32.8400002    
CSI_0318:    33.6300011    
CSI_0319:    31.9300003    
CSI_0320:    33.0400009    
CSI_0321:    25.4500008    
CSI_0322:    26.3799992    
CSI_0323:    29.7199993    
CSI_0324:    26.8600006    
CSI_0401:    35.3499985    
CSI_0402:    38.7900009    
CSI_0403:    36.6300011    
CSI_0404:    38.7299995    
CSI_0405:    35.4000015    
CSI_0406:    36.7799988    
CSI_0407:    39.2900009    
CSI_0408:    38.5000000    
CSI_0409:    37.6199989    
CSI_0410:    36.9500008    
CSI_0411:    36.5600014    
CSI_0412:    37.4599991    
CSI_0413:    32.5499992    
CSI_0414:    33.6100006    
CSI_0415:    31.9300003    
CSI_0416:    33.9900017    
CSI_0417:    31.6000004    
CSI_0418:    32.3100014    
CSI_0419:    33.2700005    
CSI_0420:    28.6599998    
CSI_0421:    23.3299999    
CSI_0422:    27.0100002    
CSI_0423:    24.5400009    
CSI_0424:    25.1299992    
CSI_0501:    46.4799995    
CSI_0502:    46.4599991    
CSI_0503:    52.6599998    
CSI_0504:    51.3300018    
CSI_0505:    50.6899986    
CSI_0506:    54.9399986    
CSI_0507:    53.2500000    
CSI_0508:    50.8400002    
CSI_0509:    48.1300011    
CSI_0510:    48.5299988    
CSI_0511:    51.1500015    
CSI_0512:    45.3600006    
CSI_0513:    45.1599998    
CSI_0514:    44.6800003    
CSI_0515:    45.1800003    
CSI_0516:    45.0900002    
CSI_0517:    44.5400009    
CSI_0518:    42.5999985    
CSI_0519:    43.0600014    
CSI_0520:    42.5900002    
CSI_0521:    38.2900009    
CSI_0522:    36.5900002    
CSI_0523:    36.0800018    
CSI_0524:    38.5099983    
CSI_0601:    39.4099998    
CSI_0602:    39.1599998    
CSI_0603:    45.4599991    
CSI_0604:    44.3100014    
CSI_0605:    39.5999985    
CSI_0606:    42.8499985    
CSI_0607:    42.3699989    
CSI_0608:    42.3499985    
CSI_0609:    38.3300018    
CSI_0610:    38.3300018    
CSI_0611:    38.5600014    
CSI_0612:    41.2000008    
CSI_0613:    34.5200005    
CSI_0614:    37.8899994    
CSI_0615:    35.5800018    
CSI_0616:    32.3699989    
CSI_0617:    38.0000000    
CSI_0618:    35.9700012    
CSI_0619:    35.7299995    
CSI_0620:    35.6199989    
CSI_0621:    28.2399998    
CSI_0622:    28.5100002    
CSI_0623:    29.8199997    
CSI_0624:    29.6700001    
CSI_0701:    39.0000000    
CSI_0702:    45.6699982    
CSI_0703:    45.2999992    
CSI_0704:    46.1699982    
CSI_0705:    45.4599991    
CSI_0706:    44.3199997    
CSI_0707:    43.6399994    
CSI_0708:    42.7999992    
CSI_0709:    43.7500000    
CSI_0710:    44.5699997    
CSI_0711:    38.8800011    
CSI_0712:    42.3199997    
CSI_0713:    38.7799988    
CSI_0714:    40.2999992    
CSI_0715:    38.3899994    
CSI_0716:    37.5800018    
CSI_0717:    41.1800003    
CSI_0718:    39.9099998    
CSI_0719:    35.4199982    
CSI_0720:    35.4399986    
CSI_0721:    36.4099998    
CSI_0722:    33.0800018    
CSI_0723:    30.5499992    
CSI_0724:    31.3299999    
CSI_0801:    33.8899994    
CSI_0802:    36.5099983    
CSI_0803:    41.0999985    
CSI_0804:    40.5600014    
CSI_0805:    39.2599983    
CSI_0806:    37.6399994    
CSI_0807:    39.2900009    
CSI_0808:    40.4099998    
CSI_0809:    37.0900002    
CSI_0810:    36.8899994    
CSI_0811:    36.9700012    
CSI_0812:    37.9399986    
CSI_0813:    32.7999992    
CSI_0814:    34.8100014    
CSI_0815:    32.5800018    
CSI_0816:    36.3600006    
CSI_0817:    33.7500000    
CSI_0818:    33.5699997    
CSI_0819:    30.5000000    
CSI_0820:    31.8400002    
CSI_0821:    28.5499992    
CSI_0822:    24.4599991    
CSI_0823:    27.4899998    
CSI_0824:    25.5699997    
CSI_0901:    32.2000008    
CSI_0902:    36.4099998    
CSI_0903:    38.3600006    
CSI_0904:    37.6399994    
CSI_0905:    37.0400009    
CSI_0906:    36.2099991    
CSI_0907:    38.7299995    
CSI_0908:    39.6500015    
CSI_0909:    37.4399986    
CSI_0910:    40.5000000    
CSI_0911:    36.8199997    
CSI_0912:    35.1199989    
CSI_0913:    31.6399994    
CSI_0914:    35.3899994    
CSI_0915:    34.3699989    
CSI_0916:    31.2700005    
CSI_0917:    31.8700008    
CSI_0918:    29.5300007    
CSI_0919:    29.0900002    
CSI_0920:    30.1900005    
CSI_0921:    27.3700008    
CSI_0922:    24.3299999    
CSI_0923:    22.8600006    
CSI_0924:    24.4099998    
CSI_1001:    35.4700012    
CSI_1002:    44.6699982    
CSI_1003:    42.3400002    
CSI_1004:    40.4799995    
CSI_1005:    39.4900017    
CSI_1006:    44.5299988    
CSI_1007:    40.5299988    
CSI_1008:    41.5499992    
CSI_1009:    40.2200012    
CSI_1010:    40.9399986    
CSI_1011:    42.4799995    
CSI_1012:    40.8600006    
CSI_1013:    38.6800003    
CSI_1014:    35.3199997    
CSI_1015:    39.0600014    
CSI_1016:    36.2500000    
CSI_1017:    37.0400009    
CSI_1018:    34.4700012    
CSI_1019:    37.3699989    
CSI_1020:    31.6800003    
CSI_1021:    29.5100002    
CSI_1022:    30.9799995    
CSI_1023:    27.6599998    
CSI_1024:    29.5699997    
CSI_1101:    36.5800018    
CSI_1102:    43.6399994    
CSI_1103:    47.3100014    
CSI_1104:    46.0600014    
CSI_1105:    39.4799995    
CSI_1106:    42.5000000    
CSI_1107:    43.7299995    
CSI_1108:    43.9500008    
CSI_1109:    38.7500000    
CSI_1110:    42.5699997    
CSI_1111:    39.5200005    
CSI_1112:    42.2999992    
CSI_1113:    34.7700005    
CSI_1114:    36.0400009    
CSI_1115:    37.2200012    
CSI_1116:    34.4099998    
CSI_1117:    35.4199982    
CSI_1118:    37.5299988    
CSI_1119:    38.0999985    
CSI_1120:    34.1399994    
CSI_1121:    33.0699997    
CSI_1122:    31.0000000    
CSI_1123:    28.4300003    
CSI_1124:    29.6100006    
CSI_1201:    42.1300011    
