SignalIn:                                R
SignalOut:                               R_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1311-1371
CSI_0201:    20.2000008    
CSI_0203:    19.3999996    
CSI_0205:    20.7999992    
CSI_0207:    21.3999996    
CSI_0209:    19.2000008    
CSI_0211:    20.2000008    
CSI_0213:    15.0000000    
CSI_0215:    15.6000004    
CSI_0217:    14.8000002    
CSI_0219:    13.6000004    
CSI_0221:    8.19999981    
CSI_0223:    8.00000000    
CSI_0301:    16.2000008    
CSI_0302:    20.7999992    
CSI_0303:    22.2000008    
CSI_0304:    22.2000008    
CSI_0305:    20.3999996    
CSI_0306:    21.2000008    
CSI_0307:    23.2000008    
CSI_0308:    23.0000000    
CSI_0309:    19.7999992    
CSI_0310:    21.6000004    
CSI_0311:    21.2000008    
CSI_0312:    19.7999992    
CSI_0313:    15.1999998    
CSI_0314:    16.3999996    
CSI_0315:    15.6000004    
CSI_0316:    14.1999998    
CSI_0317:    16.2000008    
CSI_0318:    16.2000008    
CSI_0319:    15.3999996    
CSI_0320:    16.2000008    
CSI_0321:    10.6000004    
CSI_0322:    9.19999981    
CSI_0323:    10.1999998    
CSI_0324:    10.1999998    
CSI_0401:    24.3999996    
CSI_0402:    26.6000004    
CSI_0403:    26.3999996    
CSI_0404:    28.3999996    
CSI_0405:    25.6000004    
CSI_0406:    28.6000004    
CSI_0407:    29.3999996    
CSI_0408:    27.3999996    
CSI_0409:    28.2000008    
CSI_0410:    28.3999996    
CSI_0411:    28.3999996    
CSI_0412:    29.3999996    
CSI_0413:    24.7999992    
CSI_0414:    24.0000000    
CSI_0415:    23.2000008    
CSI_0416:    25.7999992    
CSI_0417:    22.3999996    
CSI_0418:    21.6000004    
CSI_0419:    22.6000004    
CSI_0420:    20.0000000    
CSI_0421:    15.1999998    
CSI_0422:    17.3999996    
CSI_0423:    15.1999998    
CSI_0424:    16.7999992    
CSI_0501:    23.2000008    
CSI_0502:    27.3999996    
CSI_0503:    29.0000000    
CSI_0504:    27.0000000    
CSI_0505:    27.2000008    
CSI_0506:    30.3999996    
CSI_0507:    29.3999996    
CSI_0508:    29.0000000    
CSI_0509:    26.3999996    
CSI_0510:    27.0000000    
CSI_0511:    28.7999992    
CSI_0512:    23.0000000    
CSI_0513:    22.2000008    
CSI_0514:    21.6000004    
CSI_0515:    24.2000008    
CSI_0516:    22.2000008    
CSI_0517:    22.2000008    
CSI_0518:    20.2000008    
CSI_0519:    21.6000004    
CSI_0520:    19.7999992    
CSI_0521:    17.2000008    
CSI_0522:    15.0000000    
CSI_0523:    14.6000004    
CSI_0524:    16.0000000    
CSI_0601:    27.2000008    
CSI_0602:    28.2000008    
CSI_0603:    33.4000015    
CSI_0604:    32.2000008    
CSI_0605:    28.0000000    
CSI_0606:    31.2000008    
CSI_0607:    31.7999992    
CSI_0608:    29.3999996    
CSI_0609:    27.3999996    
CSI_0610:    29.0000000    
CSI_0611:    29.0000000    
CSI_0612:    29.2000008    
CSI_0613:    24.3999996    
CSI_0614:    25.7999992    
CSI_0615:    24.3999996    
CSI_0616:    21.7999992    
CSI_0617:    24.3999996    
CSI_0618:    24.2000008    
CSI_0619:    22.7999992    
CSI_0620:    22.7999992    
CSI_0621:    19.0000000    
CSI_0622:    18.2000008    
CSI_0623:    18.2000008    
CSI_0624:    17.3999996    
CSI_0701:    23.2000008    
CSI_0702:    30.2000008    
CSI_0703:    30.3999996    
CSI_0704:    31.2000008    
CSI_0705:    30.2000008    
CSI_0706:    30.0000000    
CSI_0707:    29.3999996    
CSI_0708:    27.3999996    
CSI_0709:    28.6000004    
CSI_0710:    29.3999996    
CSI_0711:    25.7999992    
CSI_0712:    27.2000008    
CSI_0713:    23.2000008    
CSI_0714:    25.3999996    
CSI_0715:    23.2000008    
CSI_0716:    22.6000004    
CSI_0717:    26.0000000    
CSI_0718:    23.7999992    
CSI_0719:    21.3999996    
CSI_0720:    20.2000008    
CSI_0721:    22.6000004    
CSI_0722:    18.6000004    
CSI_0723:    17.6000004    
CSI_0724:    18.2000008    
CSI_0801:    25.3999996    
CSI_0802:    27.6000004    
CSI_0803:    30.3999996    
CSI_0804:    31.6000004    
CSI_0805:    30.2000008    
CSI_0806:    28.3999996    
CSI_0807:    29.0000000    
CSI_0808:    31.7999992    
CSI_0809:    27.7999992    
CSI_0810:    29.0000000    
CSI_0811:    28.6000004    
CSI_0812:    33.0000000    
CSI_0813:    25.2000008    
CSI_0814:    25.3999996    
CSI_0815:    23.0000000    
CSI_0816:    24.7999992    
CSI_0817:    22.7999992    
CSI_0818:    24.2000008    
CSI_0819:    21.3999996    
CSI_0820:    22.6000004    
CSI_0821:    18.3999996    
CSI_0822:    15.6000004    
CSI_0823:    18.2000008    
CSI_0824:    18.6000004    
CSI_0901:    26.6000004    
CSI_0902:    28.6000004    
CSI_0903:    31.3999996    
CSI_0904:    31.2000008    
CSI_0905:    30.6000004    
CSI_0906:    31.0000000    
CSI_0907:    31.3999996    
CSI_0908:    32.0000000    
CSI_0909:    31.2000008    
CSI_0910:    33.5999985    
CSI_0911:    30.3999996    
CSI_0912:    29.2000008    
CSI_0913:    26.3999996    
CSI_0914:    26.7999992    
CSI_0915:    27.2000008    
CSI_0916:    25.0000000    
CSI_0917:    24.7999992    
CSI_0918:    23.3999996    
CSI_0919:    23.7999992    
CSI_0920:    23.6000004    
CSI_0921:    21.2000008    
CSI_0922:    20.2000008    
CSI_0923:    17.3999996    
CSI_0924:    18.3999996    
CSI_1001:    24.0000000    
CSI_1002:    33.4000015    
CSI_1003:    32.2000008    
CSI_1004:    31.7999992    
CSI_1005:    31.3999996    
CSI_1006:    34.2000008    
CSI_1007:    33.0000000    
CSI_1008:    31.7999992    
CSI_1009:    29.0000000    
CSI_1010:    31.2000008    
CSI_1011:    32.7999992    
CSI_1012:    31.0000000    
CSI_1013:    26.0000000    
CSI_1014:    25.0000000    
CSI_1015:    28.3999996    
CSI_1016:    23.2000008    
CSI_1017:    27.6000004    
CSI_1018:    25.6000004    
CSI_1019:    26.7999992    
CSI_1020:    24.2000008    
CSI_1021:    17.3999996    
CSI_1022:    18.7999992    
CSI_1023:    18.0000000    
CSI_1024:    19.3999996    
CSI_1101:    22.3999996    
CSI_1102:    28.2000008    
CSI_1103:    31.6000004    
CSI_1104:    30.3999996    
CSI_1105:    25.0000000    
CSI_1106:    29.2000008    
CSI_1107:    29.2000008    
CSI_1108:    29.7999992    
CSI_1109:    25.3999996    
CSI_1110:    29.0000000    
CSI_1111:    25.6000004    
CSI_1112:    28.6000004    
CSI_1113:    22.0000000    
CSI_1114:    22.3999996    
CSI_1115:    22.0000000    
CSI_1116:    19.7999992    
CSI_1117:    19.0000000    
CSI_1118:    22.0000000    
CSI_1119:    21.3999996    
CSI_1120:    17.6000004    
CSI_1121:    16.3999996    
CSI_1122:    14.3999996    
CSI_1123:    13.8000002    
CSI_1124:    13.3999996    
CSI_1201:    27.0000000    
CSI_1202:    33.0000000    
CSI_1203:    32.5999985    
CSI_1204:    34.4000015    
CSI_1205:    28.3999996    
CSI_1206:    36.4000015    
CSI_1207:    32.2000008    
CSI_1208:    31.0000000    
CSI_1209:    29.0000000    
CSI_1210:    33.4000015    
CSI_1211:    33.2000008    
CSI_1212:    31.3999996    
CSI_1213:    24.2000008    
CSI_1214:    24.2000008    
CSI_1215:    28.2000008    
CSI_1216:    26.3999996    
CSI_1217:    26.3999996    
CSI_1218:    28.2000008    
CSI_1219:    25.0000000    
CSI_1220:    27.2000008    
CSI_1221:    22.0000000    
CSI_1222:    20.3999996    
CSI_1223:    20.2000008    
CSI_1224:    16.3999996    
CSI_1301:    24.6000004    
CSI_1304:    31.3999996    
CSI_1307:    30.2000008    
CSI_1310:    28.3999996    
CSI_1313:    28.3999996    
CSI_1316:    30.3999996    
CSI_1319:    30.6000004    
CSI_1322:    30.2000008    
CSI_1302:    28.0000000    
CSI_1305:    30.7999992    
CSI_1308:    29.2000008    
CSI_1311:    29.3999996    
CSI_1314:    26.3999996    
CSI_1317:    25.2000008    
CSI_1320:    26.2000008    
CSI_1323:    24.3999996    
CSI_1303:    21.6000004    
CSI_1306:    24.2000008    
CSI_1309:    24.2000008    
CSI_1312:    24.2000008    
CSI_1315:    16.2000008    
CSI_1318:    17.0000000    
CSI_1321:    18.0000000    
CSI_1324:    16.7999992    
CSI_1401:    15.3999996    
CSI_1403:    19.2000008    
CSI_1405:    19.2000008    
CSI_1407:    20.0000000    
CSI_1409:    18.0000000    
CSI_1411:    18.0000000    
CSI_1413:    18.3999996    
CSI_1415:    17.3999996    
CSI_1402:    16.3999996    
CSI_1404:    20.2000008    
CSI_1406:    20.0000000    
CSI_1408:    21.0000000    
CSI_1410:    14.3999996    
CSI_1412:    16.2000008    
CSI_1414:    16.2000008    
CSI_1416:    14.3999996    
CSI_1501:    17.0000000    
CSI_1503:    16.2000008    
CSI_1505:    15.8000002    
CSI_1507:    15.3999996    
CSI_1509:    10.6000004    
CSI_1511:    11.3999996    
CSI_1513:    10.3999996    
CSI_1515:    9.60000038    
CSI_1502:    28.3999996    
CSI_1504:    32.2000008    
CSI_1506:    34.2000008    
CSI_1508:    30.7999992    
CSI_1510:    31.6000004    
CSI_1512:    32.4000015    
CSI_1514:    34.4000015    
CSI_1516:    34.4000015    
CSI_1601:    32.2000008    
CSI_1602:    35.4000015    
CSI_1603:    34.5999985    
CSI_1604:    33.7999992    
CSI_1605:    29.6000004    
CSI_1606:    31.3999996    
CSI_1607:    30.6000004    
CSI_1608:    28.2000008    
CSI_1701:    27.2000008    
CSI_1702:    30.6000004    
