SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1372-1489
CSI_0201:    41.0999985    
CSI_0203:    40.3600006    
CSI_0205:    40.3100014    
CSI_0207:    43.2999992    
CSI_0209:    37.3699989    
CSI_0211:    42.2599983    
CSI_0213:    36.5999985    
CSI_0215:    34.1199989    
CSI_0217:    34.0900002    
CSI_0219:    34.8800011    
CSI_0221:    27.7700005    
CSI_0223:    28.1900005    
CSI_0301:    34.8400002    
CSI_0302:    39.2900009    
CSI_0303:    40.1300011    
CSI_0304:    40.5000000    
CSI_0305:    39.3300018    
CSI_0306:    39.0299988    
CSI_0307:    40.0400009    
CSI_0308:    42.3899994    
CSI_0309:    40.7200012    
CSI_0310:    42.2799988    
CSI_0311:    42.2500000    
CSI_0312:    39.5499992    
CSI_0313:    35.4099998    
CSI_0314:    38.8499985    
CSI_0315:    37.0800018    
CSI_0316:    33.7200012    
CSI_0317:    33.3899994    
CSI_0318:    34.1599998    
CSI_0319:    32.4799995    
CSI_0320:    33.6399994    
CSI_0321:    26.2900009    
CSI_0322:    27.1000004    
CSI_0323:    30.5699997    
CSI_0324:    27.7399998    
CSI_0401:    36.0900002    
CSI_0402:    39.5000000    
CSI_0403:    37.3300018    
CSI_0404:    39.4799995    
CSI_0405:    36.0800018    
CSI_0406:    37.5400009    
CSI_0407:    40.1699982    
CSI_0408:    39.3499985    
CSI_0409:    38.4700012    
CSI_0410:    37.6899986    
CSI_0411:    37.3899994    
CSI_0412:    38.1500015    
CSI_0413:    33.0999985    
CSI_0414:    34.1100006    
CSI_0415:    32.3600006    
CSI_0416:    34.3800011    
CSI_0417:    32.0099983    
CSI_0418:    32.6699982    
CSI_0419:    33.6899986    
CSI_0420:    29.2700005    
CSI_0421:    23.8999996    
CSI_0422:    27.6399994    
CSI_0423:    25.1800003    
CSI_0424:    25.8899994    
CSI_0501:    47.2900009    
CSI_0502:    47.1100006    
CSI_0503:    53.4000015    
CSI_0504:    51.8600006    
CSI_0505:    51.5099983    
CSI_0506:    55.7500000    
CSI_0507:    54.1399994    
CSI_0508:    51.7400017    
CSI_0509:    48.8899994    
CSI_0510:    49.3100014    
CSI_0511:    51.7400017    
CSI_0512:    45.9300003    
CSI_0513:    45.5900002    
CSI_0514:    45.1599998    
CSI_0515:    45.4399986    
CSI_0516:    45.4199982    
CSI_0517:    44.9599991    
CSI_0518:    43.1699982    
CSI_0519:    43.5800018    
CSI_0520:    43.3199997    
CSI_0521:    39.0099983    
CSI_0522:    37.4000015    
CSI_0523:    36.9700012    
CSI_0524:    39.3800011    
CSI_0601:    40.0699997    
CSI_0602:    39.5900002    
CSI_0603:    46.0000000    
CSI_0604:    44.8600006    
CSI_0605:    40.2799988    
CSI_0606:    43.5999985    
CSI_0607:    43.1500015    
CSI_0608:    43.1599998    
CSI_0609:    39.0999985    
CSI_0610:    39.0600014    
CSI_0611:    39.3400002    
CSI_0612:    41.6899986    
CSI_0613:    34.9000015    
CSI_0614:    38.2700005    
CSI_0615:    35.8499985    
CSI_0616:    32.6199989    
CSI_0617:    38.2999992    
CSI_0618:    36.3499985    
CSI_0619:    36.3300018    
CSI_0620:    36.3199997    
CSI_0621:    28.7800007    
CSI_0622:    29.2600002    
CSI_0623:    30.5499992    
CSI_0624:    30.5000000    
CSI_0701:    39.6500015    
CSI_0702:    46.4099998    
CSI_0703:    45.7099991    
CSI_0704:    46.7000008    
CSI_0705:    46.2599983    
CSI_0706:    45.1199989    
CSI_0707:    44.5800018    
CSI_0708:    43.6300011    
CSI_0709:    44.5999985    
CSI_0710:    45.3199997    
CSI_0711:    39.4900017    
CSI_0712:    42.7000008    
CSI_0713:    39.1699982    
CSI_0714:    40.5699997    
CSI_0715:    38.6199989    
CSI_0716:    37.8699989    
CSI_0717:    41.5299988    
CSI_0718:    40.4000015    
CSI_0719:    35.9500008    
CSI_0720:    36.0999985    
CSI_0721:    37.1899986    
CSI_0722:    33.8499985    
CSI_0723:    31.3400002    
CSI_0724:    32.1699982    
CSI_0801:    34.5699997    
CSI_0802:    37.1899986    
CSI_0803:    41.5900002    
CSI_0804:    41.2599983    
CSI_0805:    39.8600006    
CSI_0806:    38.4099998    
CSI_0807:    40.0099983    
CSI_0808:    41.2799988    
CSI_0809:    37.7900009    
CSI_0810:    37.5800018    
CSI_0811:    37.5900002    
CSI_0812:    57.1899986    
CSI_0813:    33.2599983    
CSI_0814:    35.1399994    
CSI_0815:    32.8800011    
CSI_0816:    36.6100006    
CSI_0817:    34.2200012    
CSI_0818:    33.9700012    
CSI_0819:    30.9799995    
CSI_0820:    32.4300003    
CSI_0821:    29.1299992    
CSI_0822:    25.1200008    
CSI_0823:    28.1599998    
CSI_0824:    26.4099998    
CSI_0901:    32.8600006    
CSI_0902:    37.0000000    
CSI_0903:    38.8199997    
CSI_0904:    38.2999992    
CSI_0905:    37.5800018    
CSI_0906:    36.7599983    
CSI_0907:    39.5600014    
CSI_0908:    40.4599991    
CSI_0909:    38.2900009    
CSI_0910:    41.2900009    
CSI_0911:    37.4099998    
CSI_0912:    35.5299988    
CSI_0913:    32.1300011    
CSI_0914:    35.7099991    
CSI_0915:    34.6800003    
CSI_0916:    31.5200005    
CSI_0917:    32.2200012    
CSI_0918:    29.9599991    
CSI_0919:    29.5200005    
CSI_0920:    30.5900002    
CSI_0921:    27.8099995    
CSI_0922:    24.9899998    
CSI_0923:    23.4400005    
CSI_0924:    25.0799999    
CSI_1001:    36.2299995    
CSI_1002:    45.4300003    
CSI_1003:    42.8400002    
CSI_1004:    41.1800003    
CSI_1005:    40.2900009    
CSI_1006:    45.4099998    
CSI_1007:    41.4599991    
CSI_1008:    42.4900017    
CSI_1009:    41.1300011    
CSI_1010:    41.7299995    
CSI_1011:    43.3100014    
CSI_1012:    41.5200005    
CSI_1013:    39.2900009    
CSI_1014:    35.6599998    
CSI_1015:    39.5099983    
CSI_1016:    36.5400009    
CSI_1017:    37.4599991    
CSI_1018:    34.9599991    
CSI_1019:    37.9199982    
CSI_1020:    32.4000015    
CSI_1021:    30.1900005    
CSI_1022:    31.7199993    
CSI_1023:    28.5000000    
CSI_1024:    30.4200001    
CSI_1101:    37.3699989    
CSI_1102:    44.3899994    
CSI_1103:    47.7999992    
CSI_1104:    46.6199989    
CSI_1105:    40.2799988    
CSI_1106:    43.3800011    
CSI_1107:    44.6300011    
CSI_1108:    44.9099998    
CSI_1109:    39.6100006    
CSI_1110:    43.4399986    
CSI_1111:    40.2500000    
CSI_1112:    42.7599983    
CSI_1113:    35.3400002    
CSI_1114:    36.6599998    
CSI_1115:    37.4900017    
CSI_1116:    34.6800003    
CSI_1117:    35.7900009    
CSI_1118:    37.9599991    
CSI_1119:    38.5600014    
CSI_1120:    34.7599983    
CSI_1121:    33.8600006    
CSI_1122:    31.7800007    
CSI_1123:    29.2099991    
CSI_1124:    30.4300003    
CSI_1201:    42.7999992    
