SignalIn:                                R
SignalOut:                               R_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1202-1258
CSI_0201:    20.0000000    
CSI_0203:    19.0599995    
CSI_0205:    21.0000000    
CSI_0207:    21.3299999    
CSI_0209:    19.4899998    
CSI_0211:    20.3199997    
CSI_0213:    15.9200001    
CSI_0215:    16.0000000    
CSI_0217:    15.0000000    
CSI_0219:    14.0000000    
CSI_0221:    8.11999989    
CSI_0223:    7.98999977    
CSI_0301:    16.0000000    
CSI_0302:    21.0000000    
CSI_0303:    22.9699993    
CSI_0304:    22.0799999    
CSI_0305:    20.5100002    
CSI_0306:    21.2299995    
CSI_0307:    23.0000000    
CSI_0308:    23.0000000    
CSI_0309:    19.9699993    
CSI_0310:    22.0000000    
CSI_0311:    21.0000000    
CSI_0312:    20.0000000    
CSI_0313:    15.9600000    
CSI_0314:    17.0000000    
CSI_0315:    16.0000000    
CSI_0316:    14.9899998    
CSI_0317:    17.0000000    
CSI_0318:    16.9899998    
CSI_0319:    16.0000000    
CSI_0320:    16.7000008    
CSI_0321:    10.8400002    
CSI_0322:    9.00000000    
CSI_0323:    10.0100002    
CSI_0324:    10.3100004    
CSI_0401:    24.0699997    
CSI_0402:    26.9899998    
CSI_0403:    26.1100006    
CSI_0404:    28.2399998    
CSI_0405:    25.9500008    
CSI_0406:    29.0000000    
CSI_0407:    29.0000000    
CSI_0408:    27.2600002    
CSI_0409:    28.0000000    
CSI_0410:    28.4099998    
CSI_0411:    28.2600002    
CSI_0412:    29.2500000    
CSI_0413:    25.0000000    
CSI_0414:    24.0000000    
CSI_0415:    23.2399998    
CSI_0416:    26.0000000    
CSI_0417:    22.7800007    
CSI_0418:    22.0000000    
CSI_0419:    22.9699993    
CSI_0420:    20.0000000    
CSI_0421:    15.0000000    
CSI_0422:    17.2800007    
CSI_0423:    15.0000000    
CSI_0424:    16.9400005    
CSI_0501:    23.0000000    
CSI_0502:    27.0000000    
CSI_0503:    29.0000000    
CSI_0504:    27.0000000    
CSI_0505:    27.0100002    
CSI_0506:    30.4300003    
CSI_0507:    29.0000000    
CSI_0508:    28.9799995    
CSI_0509:    26.0000000    
CSI_0510:    27.0000000    
CSI_0511:    29.0000000    
CSI_0512:    23.0000000    
CSI_0513:    22.3500004    
CSI_0514:    22.0000000    
CSI_0515:    24.4200001    
CSI_0516:    22.5799999    
CSI_0517:    22.3999996    
CSI_0518:    20.2700005    
CSI_0519:    21.0000000    
CSI_0520:    20.0000000    
CSI_0521:    17.0000000    
CSI_0522:    14.9799995    
CSI_0523:    14.0000000    
CSI_0524:    15.9700003    
CSI_0601:    27.0000000    
CSI_0602:    28.0000000    
CSI_0603:    33.6100006    
CSI_0604:    32.0000000    
CSI_0605:    28.0000000    
CSI_0606:    31.0000000    
CSI_0607:    31.0599995    
CSI_0608:    29.3299999    
CSI_0609:    27.0000000    
CSI_0610:    29.0000000    
CSI_0611:    29.0000000    
CSI_0612:    29.8700008    
CSI_0613:    25.0000000    
CSI_0614:    26.0000000    
CSI_0615:    25.0000000    
CSI_0616:    22.0000000    
CSI_0617:    25.0000000    
CSI_0618:    24.0200005    
CSI_0619:    23.0000000    
CSI_0620:    23.0000000    
CSI_0621:    19.0000000    
CSI_0622:    18.0000000    
CSI_0623:    18.0000000    
CSI_0624:    17.0000000    
CSI_0701:    23.0000000    
CSI_0702:    30.0000000    
CSI_0703:    30.1299992    
CSI_0704:    31.0000000    
CSI_0705:    30.0000000    
CSI_0706:    29.9899998    
CSI_0707:    29.0100002    
CSI_0708:    27.1299992    
CSI_0709:    28.5300007    
CSI_0710:    29.2099991    
CSI_0711:    26.0000000    
CSI_0712:    27.5900002    
CSI_0713:    23.3700008    
CSI_0714:    26.0000000    
CSI_0715:    23.4799995    
CSI_0716:    23.0000000    
CSI_0717:    26.0000000    
CSI_0718:    24.0000000    
CSI_0719:    21.0000000    
CSI_0720:    20.0000000    
CSI_0721:    22.2299995    
CSI_0722:    18.0499992    
CSI_0723:    17.0000000    
CSI_0724:    17.8999996    
CSI_0801:    25.0000000    
CSI_0802:    27.1299992    
CSI_0803:    30.6900005    
CSI_0804:    31.9799995    
CSI_0805:    29.9899998    
CSI_0806:    28.0400009    
CSI_0807:    28.9899998    
CSI_0808:    31.6000004    
CSI_0809:    27.9699993    
CSI_0810:    29.0000000    
CSI_0811:    28.8299999    
CSI_0812:    33.0000000    
CSI_0813:    25.0599995    
CSI_0814:    26.0000000    
CSI_0815:    23.0000000    
CSI_0816:    25.0000000    
CSI_0817:    23.0000000    
CSI_0818:    24.7000008    
CSI_0819:    21.9899998    
CSI_0820:    22.5400009    
CSI_0821:    18.0000000    
CSI_0822:    15.1300001    
CSI_0823:    18.0000000    
CSI_0824:    18.1399994    
CSI_0901:    26.4599991    
CSI_0902:    28.9899998    
CSI_0903:    31.0000000    
CSI_0904:    31.2299995    
CSI_0905:    30.0799999    
CSI_0906:    31.0000000    
CSI_0907:    31.2099991    
CSI_0908:    32.0000000    
CSI_0909:    31.0000000    
CSI_0910:    33.8899994    
CSI_0911:    30.0400009    
CSI_0912:    29.2700005    
CSI_0913:    26.6299992    
CSI_0914:    27.0000000    
CSI_0915:    27.1399994    
CSI_0916:    25.0799999    
CSI_0917:    25.0000000    
CSI_0918:    23.6299992    
CSI_0919:    24.0000000    
CSI_0920:    23.3600006    
CSI_0921:    21.0000000    
CSI_0922:    20.0000000    
CSI_0923:    17.0000000    
CSI_0924:    18.0100002    
CSI_1001:    24.0000000    
CSI_1002:    33.7099991    
CSI_1003:    32.0000000    
CSI_1004:    31.9899998    
CSI_1005:    31.4699993    
CSI_1006:    34.0000000    
CSI_1007:    33.0000000    
CSI_1008:    31.9400005    
CSI_1009:    29.0000000    
CSI_1010:    31.0000000    
CSI_1011:    32.9700012    
CSI_1012:    31.0000000    
CSI_1013:    26.2099991    
CSI_1014:    25.0300007    
CSI_1015:    28.9899998    
CSI_1016:    23.8199997    
CSI_1017:    28.0000000    
CSI_1018:    26.0000000    
CSI_1019:    26.9799995    
CSI_1020:    24.0000000    
CSI_1021:    17.8700008    
CSI_1022:    18.9899998    
CSI_1023:    17.9599991    
CSI_1024:    19.0000000    
CSI_1101:    22.0100002    
CSI_1102:    28.0100002    
CSI_1103:    31.2600002    
CSI_1104:    30.6299992    
CSI_1105:    25.0000000    
CSI_1106:    29.0000000    
CSI_1107:    29.0000000    
CSI_1108:    29.4799995    
CSI_1109:    25.0000000    
CSI_1110:    29.0000000    
CSI_1111:    25.9099998    
CSI_1112:    28.8899994    
CSI_1113:    22.0000000    
CSI_1114:    23.0000000    
CSI_1115:    22.1000004    
CSI_1116:    20.0000000    
CSI_1117:    19.0100002    
CSI_1118:    22.0000000    
CSI_1119:    21.0000000    
CSI_1120:    17.9899998    
CSI_1121:    16.0000000    
CSI_1122:    14.0100002    
CSI_1123:    13.3100004    
CSI_1124:    13.0200005    
CSI_1201:    27.0000000    
CSI_1202:    33.0000000    
CSI_1203:    33.0000000    
CSI_1204:    34.0099983    
CSI_1205:    28.2700005    
CSI_1206:    36.0299988    
CSI_1207:    32.0000000    
CSI_1208:    30.9699993    
CSI_1209:    29.0000000    
CSI_1210:    33.0099983    
CSI_1211:    33.0099983    
CSI_1212:    31.9799995    
CSI_1213:    24.8899994    
CSI_1214:    24.7000008    
CSI_1215:    28.9400005    
CSI_1216:    27.0000000    
CSI_1217:    27.0000000    
CSI_1218:    28.8299999    
CSI_1219:    25.0000000    
CSI_1220:    27.0000000    
CSI_1221:    21.5200005    
CSI_1222:    20.0000000    
CSI_1223:    20.0000000    
CSI_1224:    16.0000000    
CSI_1301:    24.0100002    
CSI_1304:    31.4500008    
CSI_1307:    30.0000000    
CSI_1310:    28.4699993    
CSI_1313:    28.0000000    
CSI_1316:    30.0599995    
CSI_1319:    30.9200001    
CSI_1322:    30.0000000    
CSI_1302:    27.9899998    
CSI_1305:    30.7199993    
CSI_1308:    29.0000000    
CSI_1311:    29.2600002    
CSI_1314:    26.0000000    
CSI_1317:    25.0000000    
CSI_1320:    26.0000000    
CSI_1323:    24.0000000    
CSI_1303:    22.0000000    
CSI_1306:    24.0000000    
CSI_1309:    24.0000000    
CSI_1312:    24.0000000    
CSI_1315:    16.0000000    
CSI_1318:    16.9699993    
CSI_1321:    18.0000000    
CSI_1324:    16.9899998    
CSI_1401:    15.1800003    
CSI_1403:    19.0000000    
CSI_1405:    19.0000000    
CSI_1407:    20.0000000    
CSI_1409:    17.9899998    
CSI_1411:    17.9799995    
CSI_1413:    18.0300007    
CSI_1415:    17.0100002    
CSI_1402:    16.0000000    
CSI_1404:    20.0000000    
CSI_1406:    20.0000000    
CSI_1408:    21.0000000    
CSI_1410:    14.0100002    
CSI_1412:    16.0000000    
CSI_1414:    16.0000000    
CSI_1416:    14.0100002    
CSI_1501:    17.0000000    
CSI_1503:    16.0000000    
CSI_1505:    15.9899998    
CSI_1507:    15.0100002    
CSI_1509:    10.5299997    
CSI_1511:    11.0000000    
CSI_1513:    10.0000000    
CSI_1515:    9.00000000    
CSI_1502:    28.0799999    
CSI_1504:    32.0000000    
CSI_1506:    34.0000000    
CSI_1508:    30.9400005    
CSI_1510:    31.9799995    
CSI_1512:    32.2700005    
CSI_1514:    34.0000000    
CSI_1516:    34.0000000    
CSI_1601:    32.0000000    
CSI_1602:    35.0000000    
CSI_1603:    34.1100006    
CSI_1604:    33.9700012    
CSI_1605:    29.9799995    
CSI_1606:    31.0100002    
CSI_1607:    30.5200005    
CSI_1608:    28.0000000    
CSI_1701:    27.0000000    
CSI_1702:    30.5400009    
