SignalIn:                                R
SignalOut:                               R_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1490-1596
CSI_0201:    21.1000004    
CSI_0203:    20.7500000    
CSI_0205:    22.0000000    
CSI_0207:    22.9899998    
CSI_0209:    20.9300003    
CSI_0211:    21.5499992    
CSI_0213:    16.1100006    
CSI_0215:    16.9699993    
CSI_0217:    15.9899998    
CSI_0219:    14.9899998    
CSI_0221:    9.23999977    
CSI_0223:    8.98999977    
CSI_0301:    17.1499996    
CSI_0302:    22.0000000    
CSI_0303:    23.7199993    
CSI_0304:    23.1100006    
CSI_0305:    21.8299999    
CSI_0306:    22.5100002    
CSI_0307:    24.1700001    
CSI_0308:    24.0300007    
CSI_0309:    21.0000000    
CSI_0310:    23.0000000    
CSI_0311:    22.0900002    
CSI_0312:    21.0000000    
CSI_0313:    16.6299992    
CSI_0314:    17.9300003    
CSI_0315:    16.9599991    
CSI_0316:    15.0799999    
CSI_0317:    17.4699993    
CSI_0318:    17.1299992    
CSI_0319:    16.9300003    
CSI_0320:    17.1100006    
CSI_0321:    11.7299995    
CSI_0322:    10.0000000    
CSI_0323:    11.0900002    
CSI_0324:    11.6199999    
CSI_0401:    25.7299995    
CSI_0402:    28.0000000    
CSI_0403:    27.6200008    
CSI_0404:    29.6900005    
CSI_0405:    26.9799995    
CSI_0406:    30.0100002    
CSI_0407:    30.6499996    
CSI_0408:    28.9899998    
CSI_0409:    29.0900002    
CSI_0410:    29.9899998    
CSI_0411:    29.9599991    
CSI_0412:    30.8600006    
CSI_0413:    26.0000000    
CSI_0414:    25.0000000    
CSI_0415:    24.2000008    
CSI_0416:    27.0000000    
CSI_0417:    23.3299999    
CSI_0418:    22.9899998    
CSI_0419:    23.8500004    
CSI_0420:    21.0000000    
CSI_0421:    16.0000000    
CSI_0422:    18.6599998    
CSI_0423:    16.0400009    
CSI_0424:    17.9899998    
CSI_0501:    24.0900002    
CSI_0502:    28.0200005    
CSI_0503:    30.0000000    
CSI_0504:    28.0100002    
CSI_0505:    28.3500004    
CSI_0506:    31.9300003    
CSI_0507:    30.4500008    
CSI_0508:    30.0100002    
CSI_0509:    27.6000004    
CSI_0510:    28.0599995    
CSI_0511:    30.0000000    
CSI_0512:    24.1299992    
CSI_0513:    23.1499996    
CSI_0514:    22.8600006    
CSI_0515:    25.0599995    
CSI_0516:    23.1000004    
CSI_0517:    23.0699997    
CSI_0518:    21.1299992    
CSI_0519:    22.0000000    
CSI_0520:    21.0000000    
CSI_0521:    18.0000000    
CSI_0522:    15.9600000    
CSI_0523:    15.2399998    
CSI_0524:    17.0000000    
CSI_0601:    28.0499992    
CSI_0602:    29.0400009    
CSI_0603:    34.7299995    
CSI_0604:    33.0600014    
CSI_0605:    29.0100002    
CSI_0606:    32.2700005    
CSI_0607:    32.8800011    
CSI_0608:    30.9500008    
CSI_0609:    28.5400009    
CSI_0610:    30.0699997    
CSI_0611:    30.2700005    
CSI_0612:    30.8799992    
CSI_0613:    25.7500000    
CSI_0614:    26.9899998    
CSI_0615:    25.6800003    
CSI_0616:    22.9899998    
CSI_0617:    25.7800007    
CSI_0618:    25.0200005    
CSI_0619:    24.0000000    
CSI_0620:    23.9599991    
CSI_0621:    20.0000000    
CSI_0622:    19.0300007    
CSI_0623:    19.1200008    
CSI_0624:    18.2800007    
CSI_0701:    24.0499992    
CSI_0702:    31.0599995    
CSI_0703:    31.3199997    
CSI_0704:    32.0299988    
CSI_0705:    31.2199993    
CSI_0706:    31.0100002    
CSI_0707:    30.7700005    
CSI_0708:    28.9400005    
CSI_0709:    29.9899998    
CSI_0710:    30.8700008    
CSI_0711:    27.0100002    
CSI_0712:    28.5599995    
CSI_0713:    24.2199993    
CSI_0714:    26.9099998    
CSI_0715:    24.0699997    
CSI_0716:    23.6299992    
CSI_0717:    27.0000000    
CSI_0718:    25.0000000    
CSI_0719:    22.0599995    
CSI_0720:    21.0100002    
CSI_0721:    23.7500000    
CSI_0722:    19.6200008    
CSI_0723:    18.4699993    
CSI_0724:    18.9899998    
CSI_0801:    26.3199997    
CSI_0802:    28.6399994    
CSI_0803:    31.8500004    
CSI_0804:    32.9900017    
CSI_0805:    31.0000000    
CSI_0806:    29.6299992    
CSI_0807:    30.0100002    
CSI_0808:    33.0000000    
CSI_0809:    29.0000000    
CSI_0810:    30.0200005    
CSI_0811:    29.9699993    
CSI_0812:    34.0600014    
CSI_0813:    26.1100006    
CSI_0814:    26.9500008    
CSI_0815:    24.0000000    
CSI_0816:    26.0000000    
CSI_0817:    24.0000000    
CSI_0818:    25.2199993    
CSI_0819:    22.8999996    
CSI_0820:    23.6399994    
CSI_0821:    19.0400009    
CSI_0822:    16.4899998    
CSI_0823:    19.0000000    
CSI_0824:    19.7999992    
CSI_0901:    27.9200001    
CSI_0902:    29.9799995    
CSI_0903:    32.2200012    
CSI_0904:    32.6500015    
CSI_0905:    31.5400009    
CSI_0906:    32.0099983    
CSI_0907:    32.9700012    
CSI_0908:    33.0699997    
CSI_0909:    32.3400002    
CSI_0910:    35.0000000    
CSI_0911:    31.7999992    
CSI_0912:    30.7500000    
CSI_0913:    27.5900002    
CSI_0914:    28.0000000    
CSI_0915:    28.0900002    
CSI_0916:    26.0499992    
CSI_0917:    25.9799995    
CSI_0918:    24.4500008    
CSI_0919:    24.9899998    
CSI_0920:    24.6499996    
CSI_0921:    22.0599995    
CSI_0922:    21.0400009    
CSI_0923:    18.1399994    
CSI_0924:    19.4699993    
CSI_1001:    25.1599998    
CSI_1002:    34.9500008    
CSI_1003:    33.0400009    
CSI_1004:    32.9900017    
CSI_1005:    32.9000015    
CSI_1006:    35.0600014    
CSI_1007:    34.1599998    
CSI_1008:    33.0099983    
CSI_1009:    30.1299992    
CSI_1010:    32.4000015    
CSI_1011:    34.0000000    
CSI_1012:    32.0099983    
CSI_1013:    27.2099991    
CSI_1014:    26.0400009    
CSI_1015:    29.7500000    
CSI_1016:    24.4699993    
CSI_1017:    29.0000000    
CSI_1018:    26.9899998    
CSI_1019:    27.9400005    
CSI_1020:    25.0000000    
CSI_1021:    18.8400002    
CSI_1022:    19.9899998    
CSI_1023:    18.9899998    
CSI_1024:    20.3500004    
CSI_1101:    23.5400009    
CSI_1102:    29.3099995    
CSI_1103:    32.7400017    
CSI_1104:    31.8400002    
CSI_1105:    26.0000000    
CSI_1106:    30.5200005    
CSI_1107:    30.7399998    
CSI_1108:    31.0000000    
CSI_1109:    26.2999992    
CSI_1110:    30.1200008    
CSI_1111:    26.9899998    
CSI_1112:    29.9500008    
CSI_1113:    23.0000000    
CSI_1114:    23.8299999    
CSI_1115:    23.0300007    
CSI_1116:    21.0000000    
CSI_1117:    20.0100002    
CSI_1118:    22.9899998    
CSI_1119:    22.0400009    
CSI_1120:    18.9799995    
CSI_1121:    17.0499992    
CSI_1122:    15.2700005    
CSI_1123:    14.8699999    
CSI_1124:    14.5799999    
CSI_1201:    28.0100002    
CSI_1202:    34.0000000    
CSI_1203:    33.9799995    
CSI_1204:    35.1899986    
CSI_1205:    29.7099991    
CSI_1206:    37.6800003    
CSI_1207:    33.1899986    
CSI_1208:    32.0000000    
CSI_1209:    30.1900005    
CSI_1210:    34.5499992    
CSI_1211:    34.2500000    
CSI_1212:    32.9399986    
CSI_1213:    25.3999996    
CSI_1214:    25.1000004    
CSI_1215:    29.3700008    
CSI_1216:    27.5799999    
CSI_1217:    27.8400002    
CSI_1218:    29.4899998    
CSI_1219:    26.0000000    
CSI_1220:    28.0599995    
CSI_1221:    22.7600002    
CSI_1222:    21.2900009    
CSI_1223:    21.0300007    
CSI_1224:    17.0400009    
CSI_1301:    25.7800007    
CSI_1304:    33.0000000    
CSI_1307:    31.0000000    
CSI_1310:    29.9899998    
CSI_1313:    29.0100002    
CSI_1316:    31.9599991    
CSI_1319:    32.0000000    
CSI_1322:    31.0000000    
CSI_1302:    29.0000000    
CSI_1305:    32.0000000    
CSI_1308:    30.0000000    
CSI_1311:    31.0000000    
CSI_1314:    27.2199993    
CSI_1317:    26.0000000    
CSI_1320:    27.0000000    
CSI_1323:    25.0100002    
CSI_1303:    23.0000000    
CSI_1306:    25.0100002    
CSI_1309:    25.0000000    
CSI_1312:    25.0100002    
CSI_1315:    17.0000000    
CSI_1318:    18.0000000    
CSI_1321:    19.0000000    
CSI_1324:    18.0000000    
CSI_1401:    16.9200001    
CSI_1403:    20.0000000    
CSI_1405:    20.1100006    
CSI_1407:    21.0000000    
CSI_1409:    19.0000000    
CSI_1411:    19.0100002    
CSI_1413:    19.6000004    
CSI_1415:    18.6599998    
CSI_1402:    17.5000000    
CSI_1404:    21.6399994    
CSI_1406:    21.0000000    
CSI_1408:    22.0000000    
CSI_1410:    15.4399996    
CSI_1412:    17.0300007    
CSI_1414:    17.0900002    
CSI_1416:    15.0400000    
CSI_1501:    18.0000000    
CSI_1503:    17.0300007    
CSI_1505:    17.0100002    
CSI_1507:    16.6399994    
CSI_1509:    11.9600000    
CSI_1511:    12.0000000    
CSI_1513:    11.0000000    
CSI_1515:    10.0000000    
CSI_1502:    29.7099991    
CSI_1504:    33.0000000    
CSI_1506:    35.0200005    
CSI_1508:    32.0000000    
CSI_1510:    33.0000000    
CSI_1512:    33.9599991    
CSI_1514:    35.0499992    
CSI_1516:    35.3199997    
CSI_1601:    33.0099983    
CSI_1602:    36.6899986    
CSI_1603:    35.9900017    
CSI_1604:    35.0000000    
CSI_1605:    31.0000000    
CSI_1606:    32.5499992    
CSI_1607:    32.0000000    
CSI_1608:    29.0100002    
CSI_1701:    28.0100002    
CSI_1702:    31.9899998    
