SignalIn:                                R
SignalOut:                               R_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1020-1111
CSI_0201:    19.9799995    
CSI_0203:    19.0000000    
CSI_0205:    20.0000000    
CSI_0207:    21.0000000    
CSI_0209:    19.0000000    
CSI_0211:    20.0000000    
CSI_0213:    15.0000000    
CSI_0215:    15.1300001    
CSI_0217:    14.3000002    
CSI_0219:    13.0000000    
CSI_0221:    8.00000000    
CSI_0223:    7.00000000    
CSI_0301:    15.9200001    
CSI_0302:    20.8799992    
CSI_0303:    22.0000000    
CSI_0304:    22.0000000    
CSI_0305:    20.0000000    
CSI_0306:    21.0000000    
CSI_0307:    22.9599991    
CSI_0308:    22.2600002    
CSI_0309:    19.0000000    
CSI_0310:    21.0100002    
CSI_0311:    20.9899998    
CSI_0312:    19.1200008    
CSI_0313:    15.0000000    
CSI_0314:    16.4200001    
CSI_0315:    15.6599998    
CSI_0316:    14.0000000    
CSI_0317:    16.0000000    
CSI_0318:    16.0000000    
CSI_0319:    15.0100002    
CSI_0320:    16.0000000    
CSI_0321:    10.0000000    
CSI_0322:    8.47000027    
CSI_0323:    9.97999954    
CSI_0324:    10.0000000    
CSI_0401:    23.9899998    
CSI_0402:    26.0100002    
CSI_0403:    26.0000000    
CSI_0404:    28.0000000    
CSI_0405:    25.0000000    
CSI_0406:    28.0100002    
CSI_0407:    28.7399998    
CSI_0408:    27.0000000    
CSI_0409:    27.0100002    
CSI_0410:    28.0000000    
CSI_0411:    28.0000000    
CSI_0412:    29.0000000    
CSI_0413:    24.0000000    
CSI_0414:    23.1900005    
CSI_0415:    23.0000000    
CSI_0416:    25.0300007    
CSI_0417:    22.0000000    
CSI_0418:    21.0000000    
CSI_0419:    22.0000000    
CSI_0420:    19.0100002    
CSI_0421:    14.0600004    
CSI_0422:    17.0000000    
CSI_0423:    14.1400003    
CSI_0424:    16.0000000    
CSI_0501:    22.2399998    
CSI_0502:    26.6000004    
CSI_0503:    28.5900002    
CSI_0504:    26.6399994    
CSI_0505:    26.9599991    
CSI_0506:    30.0000000    
CSI_0507:    28.5400009    
CSI_0508:    28.0000000    
CSI_0509:    25.8500004    
CSI_0510:    26.1299992    
CSI_0511:    28.0000000    
CSI_0512:    22.9599991    
CSI_0513:    22.0000000    
CSI_0514:    21.0100002    
CSI_0515:    24.0000000    
CSI_0516:    22.0000000    
CSI_0517:    22.0000000    
CSI_0518:    20.0000000    
CSI_0519:    20.0000000    
CSI_0520:    19.0000000    
CSI_0521:    16.0100002    
CSI_0522:    14.0000000    
CSI_0523:    13.5699997    
CSI_0524:    15.0000000    
CSI_0601:    26.0799999    
CSI_0602:    27.8400002    
CSI_0603:    33.0000000    
CSI_0604:    31.8700008    
CSI_0605:    27.0300007    
CSI_0606:    30.5400009    
CSI_0607:    30.9899998    
CSI_0608:    29.0000000    
CSI_0609:    26.5799999    
CSI_0610:    28.0300007    
CSI_0611:    28.7999992    
CSI_0612:    28.3799992    
CSI_0613:    24.0000000    
CSI_0614:    25.3500004    
CSI_0615:    24.0000000    
CSI_0616:    21.3999996    
CSI_0617:    24.0000000    
CSI_0618:    23.9400005    
CSI_0619:    22.0200005    
CSI_0620:    22.0000000    
CSI_0621:    18.0000000    
CSI_0622:    17.0499992    
CSI_0623:    17.1200008    
CSI_0624:    16.3799992    
CSI_0701:    22.2399998    
CSI_0702:    29.9400005    
CSI_0703:    30.0000000    
CSI_0704:    30.5799999    
CSI_0705:    29.6800003    
CSI_0706:    29.0000000    
CSI_0707:    28.8799992    
CSI_0708:    27.0000000    
CSI_0709:    28.0000000    
CSI_0710:    29.0000000    
CSI_0711:    25.0300007    
CSI_0712:    27.0000000    
CSI_0713:    23.0000000    
CSI_0714:    25.0100002    
CSI_0715:    23.0000000    
CSI_0716:    22.0000000    
CSI_0717:    25.3500004    
CSI_0718:    23.0100002    
CSI_0719:    20.8600006    
CSI_0720:    19.0900002    
CSI_0721:    21.9799995    
CSI_0722:    17.9599991    
CSI_0723:    16.7500000    
CSI_0724:    17.0000000    
CSI_0801:    24.7099991    
CSI_0802:    27.0000000    
CSI_0803:    30.0000000    
CSI_0804:    31.0000000    
CSI_0805:    29.0000000    
CSI_0806:    27.9899998    
CSI_0807:    28.0000000    
CSI_0808:    31.0000000    
CSI_0809:    27.0000000    
CSI_0810:    28.0000000    
CSI_0811:    28.0000000    
CSI_0812:    28.5000000    
CSI_0813:    24.9899998    
CSI_0814:    25.0000000    
CSI_0815:    22.4300003    
CSI_0816:    24.4099998    
CSI_0817:    22.5100002    
CSI_0818:    24.0000000    
CSI_0819:    21.0000000    
CSI_0820:    22.0000000    
CSI_0821:    17.4699993    
CSI_0822:    14.9899998    
CSI_0823:    17.0000000    
CSI_0824:    17.9699993    
CSI_0901:    26.0000000    
CSI_0902:    28.0000000    
CSI_0903:    30.9899998    
CSI_0904:    31.0000000    
CSI_0905:    29.9899998    
CSI_0906:    30.0000000    
CSI_0907:    31.0000000    
CSI_0908:    31.0000000    
CSI_0909:    30.1200008    
CSI_0910:    33.0000000    
CSI_0911:    29.9899998    
CSI_0912:    29.0000000    
CSI_0913:    26.0000000    
CSI_0914:    26.0699997    
CSI_0915:    26.9899998    
CSI_0916:    24.9699993    
CSI_0917:    24.0000000    
CSI_0918:    23.0000000    
CSI_0919:    23.0000000    
CSI_0920:    23.0000000    
CSI_0921:    20.2500000    
CSI_0922:    19.0400009    
CSI_0923:    16.2500000    
CSI_0924:    17.7600002    
CSI_1001:    23.6299992    
CSI_1002:    33.0000000    
CSI_1003:    31.9200001    
CSI_1004:    31.0400009    
CSI_1005:    31.0000000    
CSI_1006:    33.0999985    
CSI_1007:    32.0699997    
CSI_1008:    31.0000000    
CSI_1009:    28.0499992    
CSI_1010:    30.6499996    
CSI_1011:    32.0000000    
CSI_1012:    30.0699997    
CSI_1013:    26.0000000    
CSI_1014:    24.8899994    
CSI_1015:    28.0000000    
CSI_1016:    23.0000000    
CSI_1017:    27.0499992    
CSI_1018:    25.0100002    
CSI_1019:    26.0000000    
CSI_1020:    23.0200005    
CSI_1021:    17.0000000    
CSI_1022:    18.0000000    
CSI_1023:    17.0000000    
CSI_1024:    18.6900005    
CSI_1101:    21.9599991    
CSI_1102:    27.9899998    
CSI_1103:    31.0000000    
CSI_1104:    30.0000000    
CSI_1105:    24.0100002    
CSI_1106:    28.8700008    
CSI_1107:    28.9699993    
CSI_1108:    29.0000000    
CSI_1109:    24.3600006    
CSI_1110:    28.1299992    
CSI_1111:    25.0000000    
CSI_1112:    28.0000000    
CSI_1113:    21.0799999    
CSI_1114:    22.0000000    
CSI_1115:    22.0000000    
CSI_1116:    19.5699997    
CSI_1117:    18.9500008    
CSI_1118:    21.0300007    
CSI_1119:    20.9200001    
CSI_1120:    17.0000000    
CSI_1121:    15.5600004    
CSI_1122:    13.9300003    
CSI_1123:    13.0000000    
CSI_1124:    12.9700003    
CSI_1201:    26.0300007    
CSI_1202:    32.3199997    
CSI_1203:    32.1199989    
CSI_1204:    33.9900017    
CSI_1205:    28.0000000    
CSI_1206:    35.9900017    
CSI_1207:    31.3400002    
CSI_1208:    30.0000000    
CSI_1209:    28.3999996    
CSI_1210:    32.9300003    
CSI_1211:    32.9199982    
CSI_1212:    31.0000000    
CSI_1213:    24.0000000    
CSI_1214:    24.0000000    
CSI_1215:    28.0000000    
CSI_1216:    26.0000000    
CSI_1217:    26.0000000    
CSI_1218:    28.0000000    
CSI_1219:    24.0300007    
CSI_1220:    26.5799999    
CSI_1221:    21.0000000    
CSI_1222:    19.8299999    
CSI_1223:    19.0200005    
CSI_1224:    15.1199999    
CSI_1301:    23.6200008    
CSI_1304:    31.0000000    
CSI_1307:    29.1399994    
CSI_1310:    28.0000000    
CSI_1313:    27.0400009    
CSI_1316:    29.9500008    
CSI_1319:    30.0000000    
CSI_1322:    29.0000000    
CSI_1302:    27.0000000    
CSI_1305:    30.0000000    
CSI_1308:    28.0000000    
CSI_1311:    28.9899998    
CSI_1314:    25.1499996    
CSI_1317:    24.0000000    
CSI_1320:    25.0000000    
CSI_1323:    23.0000000    
CSI_1303:    21.0000000    
CSI_1306:    23.0000000    
CSI_1309:    23.0000000    
CSI_1312:    23.0000000    
CSI_1315:    15.0000000    
CSI_1318:    16.0000000    
CSI_1321:    17.0000000    
CSI_1324:    16.0000000    
CSI_1401:    15.0000000    
CSI_1403:    18.0499992    
CSI_1405:    18.8700008    
CSI_1407:    19.0699997    
CSI_1409:    17.0000000    
CSI_1411:    17.0000000    
CSI_1413:    17.8999996    
CSI_1415:    16.9300003    
CSI_1402:    15.8400002    
CSI_1404:    19.7199993    
CSI_1406:    19.0000000    
CSI_1408:    20.0000000    
CSI_1410:    13.7299995    
CSI_1412:    15.1300001    
CSI_1414:    15.1000004    
CSI_1416:    13.0799999    
CSI_1501:    16.0000000    
CSI_1503:    15.0500002    
CSI_1505:    15.0000000    
CSI_1507:    14.6499996    
CSI_1509:    10.0000000    
CSI_1511:    10.0000000    
CSI_1513:    9.01000023    
CSI_1515:    8.00000000    
CSI_1502:    27.8400002    
CSI_1504:    31.2600002    
CSI_1506:    33.7799988    
CSI_1508:    30.0000000    
CSI_1510:    31.0000000    
CSI_1512:    32.0000000    
CSI_1514:    33.2000008    
CSI_1516:    33.6399994    
CSI_1601:    31.0000000    
CSI_1602:    34.7099991    
CSI_1603:    33.9900017    
CSI_1604:    33.0000000    
CSI_1605:    29.0000000    
CSI_1606:    30.5200005    
CSI_1607:    30.0000000    
CSI_1608:    27.0000000    
CSI_1701:    26.0100002    
CSI_1702:    29.9799995    
