SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1311-1371
CSI_0201:    41.4000015    
CSI_0203:    40.4000015    
CSI_0205:    40.5999985    
CSI_0207:    43.2000008    
CSI_0209:    37.4000015    
CSI_0211:    42.2000008    
CSI_0213:    37.2000008    
CSI_0215:    34.4000015    
CSI_0217:    34.2000008    
CSI_0219:    35.0000000    
CSI_0221:    28.0000000    
CSI_0223:    28.7999992    
CSI_0301:    35.2000008    
CSI_0302:    39.5999985    
CSI_0303:    40.5999985    
CSI_0304:    40.4000015    
CSI_0305:    39.5999985    
CSI_0306:    39.0000000    
CSI_0307:    40.4000015    
CSI_0308:    42.5999985    
CSI_0309:    41.0000000    
CSI_0310:    42.5999985    
CSI_0311:    42.5999985    
CSI_0312:    40.0000000    
CSI_0313:    35.4000015    
CSI_0314:    38.7999992    
CSI_0315:    37.5999985    
CSI_0316:    34.2000008    
CSI_0317:    33.5999985    
CSI_0318:    34.2000008    
CSI_0319:    32.2000008    
CSI_0320:    33.7999992    
CSI_0321:    26.6000004    
CSI_0322:    27.6000004    
CSI_0323:    31.0000000    
CSI_0324:    28.0000000    
CSI_0401:    36.4000015    
CSI_0402:    39.4000015    
CSI_0403:    37.5999985    
CSI_0404:    39.5999985    
CSI_0405:    36.4000015    
CSI_0406:    37.4000015    
CSI_0407:    40.0000000    
CSI_0408:    39.2000008    
CSI_0409:    39.0000000    
CSI_0410:    37.5999985    
CSI_0411:    37.5999985    
CSI_0412:    38.2000008    
CSI_0413:    33.5999985    
CSI_0414:    34.4000015    
CSI_0415:    32.4000015    
CSI_0416:    34.7999992    
CSI_0417:    32.5999985    
CSI_0418:    33.2000008    
CSI_0419:    34.4000015    
CSI_0420:    29.6000004    
CSI_0421:    24.0000000    
CSI_0422:    28.0000000    
CSI_0423:    25.3999996    
CSI_0424:    26.2000008    
CSI_0501:    47.7999992    
CSI_0502:    47.2000008    
CSI_0503:    53.5999985    
CSI_0504:    52.0000000    
CSI_0505:    51.5999985    
CSI_0506:    56.0000000    
CSI_0507:    54.5999985    
CSI_0508:    52.2000008    
CSI_0509:    49.4000015    
CSI_0510:    49.2000008    
CSI_0511:    52.2000008    
CSI_0512:    46.2000008    
CSI_0513:    46.0000000    
CSI_0514:    45.4000015    
CSI_0515:    46.0000000    
CSI_0516:    45.4000015    
CSI_0517:    45.2000008    
CSI_0518:    43.5999985    
CSI_0519:    44.2000008    
CSI_0520:    43.5999985    
CSI_0521:    39.2000008    
CSI_0522:    37.4000015    
CSI_0523:    37.4000015    
CSI_0524:    39.5999985    
CSI_0601:    40.4000015    
CSI_0602:    39.7999992    
CSI_0603:    46.2000008    
CSI_0604:    45.0000000    
CSI_0605:    40.4000015    
CSI_0606:    44.2000008    
CSI_0607:    43.7999992    
CSI_0608:    43.4000015    
CSI_0609:    39.5999985    
CSI_0610:    39.4000015    
CSI_0611:    40.0000000    
CSI_0612:    41.4000015    
CSI_0613:    35.2000008    
CSI_0614:    38.5999985    
CSI_0615:    36.2000008    
CSI_0616:    33.4000015    
CSI_0617:    38.5999985    
CSI_0618:    37.0000000    
CSI_0619:    36.4000015    
CSI_0620:    36.7999992    
CSI_0621:    29.2000008    
CSI_0622:    29.6000004    
CSI_0623:    30.7999992    
CSI_0624:    31.2000008    
CSI_0701:    40.2000008    
CSI_0702:    46.5999985    
CSI_0703:    46.2000008    
CSI_0704:    46.7999992    
CSI_0705:    46.5999985    
CSI_0706:    45.4000015    
CSI_0707:    44.7999992    
CSI_0708:    44.2000008    
CSI_0709:    45.2000008    
CSI_0710:    45.5999985    
CSI_0711:    39.5999985    
CSI_0712:    42.7999992    
CSI_0713:    39.5999985    
CSI_0714:    40.5999985    
CSI_0715:    39.0000000    
CSI_0716:    38.0000000    
CSI_0717:    42.2000008    
CSI_0718:    40.4000015    
CSI_0719:    36.4000015    
CSI_0720:    36.4000015    
CSI_0721:    37.4000015    
CSI_0722:    34.0000000    
CSI_0723:    32.0000000    
CSI_0724:    32.4000015    
CSI_0801:    35.2000008    
CSI_0802:    37.7999992    
CSI_0803:    41.7999992    
CSI_0804:    41.2000008    
CSI_0805:    40.7999992    
CSI_0806:    38.2000008    
CSI_0807:    40.2000008    
CSI_0808:    41.5999985    
CSI_0809:    38.4000015    
CSI_0810:    37.5999985    
CSI_0811:    38.2000008    
CSI_0812:    57.4000015    
CSI_0813:    33.4000015    
CSI_0814:    35.4000015    
CSI_0815:    33.0000000    
CSI_0816:    36.5999985    
CSI_0817:    34.5999985    
CSI_0818:    34.2000008    
CSI_0819:    31.2000008    
CSI_0820:    32.5999985    
CSI_0821:    29.7999992    
CSI_0822:    25.3999996    
CSI_0823:    28.7999992    
CSI_0824:    26.6000004    
CSI_0901:    33.5999985    
CSI_0902:    37.4000015    
CSI_0903:    39.0000000    
CSI_0904:    38.2000008    
CSI_0905:    37.7999992    
CSI_0906:    37.0000000    
CSI_0907:    40.0000000    
CSI_0908:    40.4000015    
CSI_0909:    38.4000015    
CSI_0910:    41.2000008    
CSI_0911:    37.7999992    
CSI_0912:    36.0000000    
CSI_0913:    32.4000015    
CSI_0914:    35.7999992    
CSI_0915:    35.2000008    
CSI_0916:    32.2000008    
CSI_0917:    32.5999985    
CSI_0918:    30.3999996    
CSI_0919:    29.7999992    
CSI_0920:    31.2000008    
CSI_0921:    27.7999992    
CSI_0922:    25.2000008    
CSI_0923:    23.7999992    
CSI_0924:    25.6000004    
CSI_1001:    36.4000015    
CSI_1002:    45.5999985    
CSI_1003:    43.2000008    
CSI_1004:    42.0000000    
CSI_1005:    40.4000015    
CSI_1006:    45.7999992    
CSI_1007:    41.7999992    
CSI_1008:    42.5999985    
CSI_1009:    41.2000008    
CSI_1010:    42.0000000    
CSI_1011:    43.7999992    
CSI_1012:    41.5999985    
CSI_1013:    39.4000015    
CSI_1014:    36.4000015    
CSI_1015:    39.7999992    
CSI_1016:    37.2000008    
CSI_1017:    37.5999985    
CSI_1018:    35.5999985    
CSI_1019:    38.7999992    
CSI_1020:    32.7999992    
CSI_1021:    30.6000004    
CSI_1022:    32.2000008    
CSI_1023:    29.2000008    
CSI_1024:    30.6000004    
CSI_1101:    38.2000008    
CSI_1102:    44.7999992    
CSI_1103:    48.0000000    
CSI_1104:    47.2000008    
CSI_1105:    40.4000015    
CSI_1106:    43.7999992    
CSI_1107:    44.7999992    
CSI_1108:    44.7999992    
CSI_1109:    40.2000008    
CSI_1110:    43.7999992    
CSI_1111:    40.4000015    
CSI_1112:    42.7999992    
CSI_1113:    35.4000015    
CSI_1114:    36.7999992    
CSI_1115:    37.5999985    
CSI_1116:    35.2000008    
CSI_1117:    36.4000015    
CSI_1118:    38.4000015    
CSI_1119:    39.2000008    
CSI_1120:    35.4000015    
CSI_1121:    34.0000000    
CSI_1122:    32.0000000    
CSI_1123:    29.6000004    
CSI_1124:    30.7999992    
CSI_1201:    43.0000000    
