SignalIn:                                R
SignalOut:                               R_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1259-1310
CSI_0201:    21.0000000    
CSI_0203:    20.0000000    
CSI_0205:    21.4200001    
CSI_0207:    22.0100002    
CSI_0209:    20.0000000    
CSI_0211:    21.0000000    
CSI_0213:    16.0200005    
CSI_0215:    17.0000000    
CSI_0217:    16.0000000    
CSI_0219:    14.8500004    
CSI_0221:    9.00000000    
CSI_0223:    8.01000023    
CSI_0301:    16.8899994    
CSI_0302:    21.2199993    
CSI_0303:    23.0000000    
CSI_0304:    23.0000000    
CSI_0305:    21.0000000    
CSI_0306:    22.0000000    
CSI_0307:    23.9599991    
CSI_0308:    23.3799992    
CSI_0309:    20.0000000    
CSI_0310:    22.2299995    
CSI_0311:    22.0000000    
CSI_0312:    20.5799999    
CSI_0313:    16.0000000    
CSI_0314:    17.8700008    
CSI_0315:    16.9799995    
CSI_0316:    15.0000000    
CSI_0317:    17.0000000    
CSI_0318:    17.0000000    
CSI_0319:    16.4099998    
CSI_0320:    17.0000000    
CSI_0321:    11.0000000    
CSI_0322:    9.93999958    
CSI_0323:    11.0000000    
CSI_0324:    11.0000000    
CSI_0401:    25.0000000    
CSI_0402:    27.2999992    
CSI_0403:    27.0000000    
CSI_0404:    29.0000000    
CSI_0405:    26.0400009    
CSI_0406:    29.7600002    
CSI_0407:    30.0000000    
CSI_0408:    28.0000000    
CSI_0409:    28.9699993    
CSI_0410:    29.0000000    
CSI_0411:    29.0000000    
CSI_0412:    30.0000000    
CSI_0413:    25.8400002    
CSI_0414:    25.0000000    
CSI_0415:    24.0000000    
CSI_0416:    27.0000000    
CSI_0417:    23.0100002    
CSI_0418:    22.8299999    
CSI_0419:    23.1299992    
CSI_0420:    20.9699993    
CSI_0421:    16.0000000    
CSI_0422:    18.0000000    
CSI_0423:    16.0000000    
CSI_0424:    17.0100002    
CSI_0501:    23.9899998    
CSI_0502:    27.9799995    
CSI_0503:    29.9699993    
CSI_0504:    27.9899998    
CSI_0505:    28.0000000    
CSI_0506:    31.0300007    
CSI_0507:    30.0000000    
CSI_0508:    29.4799995    
CSI_0509:    27.0000000    
CSI_0510:    28.0000000    
CSI_0511:    29.9200001    
CSI_0512:    24.0000000    
CSI_0513:    23.0000000    
CSI_0514:    22.9500008    
CSI_0515:    25.0100002    
CSI_0516:    23.0100002    
CSI_0517:    23.0000000    
CSI_0518:    21.0000000    
CSI_0519:    22.0000000    
CSI_0520:    20.9099998    
CSI_0521:    17.9799995    
CSI_0522:    15.0699997    
CSI_0523:    15.0000000    
CSI_0524:    16.0599995    
CSI_0601:    27.9500008    
CSI_0602:    28.9699993    
CSI_0603:    34.0000000    
CSI_0604:    33.0000000    
CSI_0605:    28.8600006    
CSI_0606:    32.0000000    
CSI_0607:    32.0000000    
CSI_0608:    30.0000000    
CSI_0609:    28.0000000    
CSI_0610:    29.9599991    
CSI_0611:    30.0000000    
CSI_0612:    30.0900002    
CSI_0613:    25.3799992    
CSI_0614:    27.0000000    
CSI_0615:    25.7299995    
CSI_0616:    23.0000000    
CSI_0617:    25.7099991    
CSI_0618:    25.0000000    
CSI_0619:    23.9899998    
CSI_0620:    23.3700008    
CSI_0621:    19.5100002    
CSI_0622:    18.9899998    
CSI_0623:    19.0000000    
CSI_0624:    18.0000000    
CSI_0701:    23.9899998    
CSI_0702:    30.9899998    
CSI_0703:    31.0000000    
CSI_0704:    31.9899998    
CSI_0705:    31.0000000    
CSI_0706:    30.5200005    
CSI_0707:    30.0000000    
CSI_0708:    28.0000000    
CSI_0709:    29.0100002    
CSI_0710:    30.0000000    
CSI_0711:    26.9699993    
CSI_0712:    28.0100002    
CSI_0713:    24.0000000    
CSI_0714:    26.9699993    
CSI_0715:    24.0000000    
CSI_0716:    23.5000000    
CSI_0717:    27.0000000    
CSI_0718:    24.9799995    
CSI_0719:    22.0000000    
CSI_0720:    21.0000000    
CSI_0721:    23.0000000    
CSI_0722:    19.0000000    
CSI_0723:    18.0000000    
CSI_0724:    18.0100002    
CSI_0801:    26.0000000    
CSI_0802:    28.0000000    
CSI_0803:    31.0100002    
CSI_0804:    32.3300018    
CSI_0805:    30.4200001    
CSI_0806:    29.0000000    
CSI_0807:    29.4099998    
CSI_0808:    32.0200005    
CSI_0809:    28.3299999    
CSI_0810:    29.7700005    
CSI_0811:    29.0200005    
CSI_0812:    30.0000000    
CSI_0813:    26.0000000    
CSI_0814:    26.8899994    
CSI_0815:    24.0000000    
CSI_0816:    26.0000000    
CSI_0817:    24.0000000    
CSI_0818:    25.0100002    
CSI_0819:    22.2900009    
CSI_0820:    23.0000000    
CSI_0821:    19.0000000    
CSI_0822:    16.0000000    
CSI_0823:    18.1399994    
CSI_0824:    19.0000000    
CSI_0901:    27.0000000    
CSI_0902:    29.2199993    
CSI_0903:    32.0000000    
CSI_0904:    32.0000000    
CSI_0905:    31.0000000    
CSI_0906:    31.6700001    
CSI_0907:    32.0000000    
CSI_0908:    32.9300003    
CSI_0909:    32.0000000    
CSI_0910:    34.2799988    
CSI_0911:    31.0000000    
CSI_0912:    30.0100002    
CSI_0913:    27.0400009    
CSI_0914:    28.0000000    
CSI_0915:    28.0000000    
CSI_0916:    26.0000000    
CSI_0917:    25.9899998    
CSI_0918:    24.0200005    
CSI_0919:    24.9400005    
CSI_0920:    24.0000000    
CSI_0921:    22.0000000    
CSI_0922:    21.0000000    
CSI_0923:    18.0000000    
CSI_0924:    19.0000000    
CSI_1001:    25.0000000    
CSI_1002:    34.0499992    
CSI_1003:    33.0000000    
CSI_1004:    32.5299988    
CSI_1005:    32.0099983    
CSI_1006:    34.9700012    
CSI_1007:    33.9799995    
CSI_1008:    32.4900017    
CSI_1009:    29.9799995    
CSI_1010:    32.0000000    
CSI_1011:    33.6699982    
CSI_1012:    31.9899998    
CSI_1013:    27.0000000    
CSI_1014:    26.0000000    
CSI_1015:    29.7299995    
CSI_1016:    24.2700005    
CSI_1017:    29.0000000    
CSI_1018:    26.9799995    
CSI_1019:    27.5900002    
CSI_1020:    25.0000000    
CSI_1021:    18.0100002    
CSI_1022:    19.1200008    
CSI_1023:    18.2099991    
CSI_1024:    20.0000000    
CSI_1101:    23.0000000    
CSI_1102:    29.0000000    
CSI_1103:    32.0000000    
CSI_1104:    31.0200005    
CSI_1105:    25.5400009    
CSI_1106:    30.0000000    
CSI_1107:    30.0000000    
CSI_1108:    30.0599995    
CSI_1109:    26.0000000    
CSI_1110:    29.9899998    
CSI_1111:    26.2900009    
CSI_1112:    29.2299995    
CSI_1113:    22.9899998    
CSI_1114:    23.6700001    
CSI_1115:    23.0000000    
CSI_1116:    21.0000000    
CSI_1117:    20.0000000    
CSI_1118:    22.9899998    
CSI_1119:    22.0000000    
CSI_1120:    18.4500008    
CSI_1121:    17.0000000    
CSI_1122:    15.0000000    
CSI_1123:    14.0000000    
CSI_1124:    14.0000000    
CSI_1201:    27.8999996    
CSI_1202:    33.7500000    
CSI_1203:    33.4099998    
CSI_1204:    35.0000000    
CSI_1205:    29.0000000    
CSI_1206:    37.0000000    
CSI_1207:    33.0000000    
CSI_1208:    31.3099995    
CSI_1209:    30.0000000    
CSI_1210:    34.0000000    
CSI_1211:    34.0000000    
CSI_1212:    32.2999992    
CSI_1213:    25.0100002    
CSI_1214:    25.0000000    
CSI_1215:    29.1299992    
CSI_1216:    27.3799992    
CSI_1217:    27.5799999    
CSI_1218:    29.0300007    
CSI_1219:    26.0000000    
CSI_1220:    28.0000000    
CSI_1221:    22.0000000    
CSI_1222:    21.0000000    
CSI_1223:    20.9899998    
CSI_1224:    16.9899998    
CSI_1301:    25.0000000    
CSI_1304:    32.0099983    
CSI_1307:    30.9899998    
CSI_1310:    29.0100002    
CSI_1313:    29.0000000    
CSI_1316:    31.0000000    
CSI_1319:    31.2299995    
CSI_1322:    30.6499996    
CSI_1302:    28.4500008    
CSI_1305:    31.0900002    
CSI_1308:    29.9500008    
CSI_1311:    30.0000000    
CSI_1314:    27.0000000    
CSI_1317:    25.4500008    
CSI_1320:    26.9400005    
CSI_1323:    25.0000000    
CSI_1303:    22.6299992    
CSI_1306:    24.9899998    
CSI_1309:    24.8899994    
CSI_1312:    24.9699993    
CSI_1315:    16.8199997    
CSI_1318:    17.0499992    
CSI_1321:    18.4200001    
CSI_1324:    17.0300007    
CSI_1401:    16.0000000    
CSI_1403:    19.8299999    
CSI_1405:    20.0000000    
CSI_1407:    20.8099995    
CSI_1409:    18.1900005    
CSI_1411:    18.2800007    
CSI_1413:    19.0000000    
CSI_1415:    18.0000000    
CSI_1402:    17.0000000    
CSI_1404:    21.0000000    
CSI_1406:    20.9599991    
CSI_1408:    21.9699993    
CSI_1410:    15.0000000    
CSI_1412:    17.0000000    
CSI_1414:    17.0000000    
CSI_1416:    15.0000000    
CSI_1501:    17.3199997    
CSI_1503:    17.0000000    
CSI_1505:    16.2800007    
CSI_1507:    16.0000000    
CSI_1509:    11.0000000    
CSI_1511:    11.9899998    
CSI_1513:    11.0000000    
CSI_1515:    9.81000042    
CSI_1502:    29.0000000    
CSI_1504:    32.9900017    
CSI_1506:    35.0000000    
CSI_1508:    31.2199993    
CSI_1510:    32.1300011    
CSI_1512:    33.0000000    
CSI_1514:    35.0000000    
CSI_1516:    35.0000000    
CSI_1601:    32.8300018    
CSI_1602:    36.0000000    
CSI_1603:    35.0000000    
CSI_1604:    34.5299988    
CSI_1605:    30.2299995    
CSI_1606:    32.0000000    
CSI_1607:    31.0000000    
CSI_1608:    29.0000000    
CSI_1701:    28.0000000    
CSI_1702:    31.0200005    
