SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1020-1111
CSI_0201:    40.5699997    
CSI_0203:    39.7700005    
CSI_0205:    39.6699982    
CSI_0207:    42.5900002    
CSI_0209:    36.8199997    
CSI_0211:    41.8199997    
CSI_0213:    36.5499992    
CSI_0215:    34.0000000    
CSI_0217:    33.8199997    
CSI_0219:    34.4700012    
CSI_0221:    27.2000008    
CSI_0223:    28.4400005    
CSI_0301:    34.1399994    
CSI_0302:    38.7200012    
CSI_0303:    39.6500015    
CSI_0304:    40.1899986    
CSI_0305:    37.4500008    
CSI_0306:    38.5099983    
CSI_0307:    39.4399986    
CSI_0308:    41.6599998    
CSI_0309:    39.9500008    
CSI_0310:    41.6899986    
CSI_0311:    41.8100014    
CSI_0312:    39.2599983    
CSI_0313:    35.0000000    
CSI_0314:    38.6500015    
CSI_0315:    37.0000000    
CSI_0316:    33.5299988    
CSI_0317:    33.1899986    
CSI_0318:    33.9000015    
CSI_0319:    32.1599998    
CSI_0320:    33.2799988    
CSI_0321:    25.5699997    
CSI_0322:    26.5400009    
CSI_0323:    29.9300003    
CSI_0324:    27.0000000    
CSI_0401:    35.5900002    
CSI_0402:    39.2799988    
CSI_0403:    37.0099983    
CSI_0404:    39.2700005    
CSI_0405:    35.6100006    
CSI_0406:    37.2200012    
CSI_0407:    39.5499992    
CSI_0408:    38.7900009    
CSI_0409:    37.9500008    
CSI_0410:    37.2700005    
CSI_0411:    36.8899994    
CSI_0412:    37.6699982    
CSI_0413:    32.7900009    
CSI_0414:    33.9099998    
CSI_0415:    32.2400017    
CSI_0416:    34.2599983    
CSI_0417:    31.8899994    
CSI_0418:    32.5200005    
CSI_0419:    33.4799995    
CSI_0420:    28.9099998    
CSI_0421:    23.4799995    
CSI_0422:    27.1599998    
CSI_0423:    24.7600002    
CSI_0424:    25.3299999    
CSI_0501:    46.6899986    
CSI_0502:    46.5999985    
CSI_0503:    53.0900002    
CSI_0504:    51.5400009    
CSI_0505:    51.0400009    
CSI_0506:    55.2700005    
CSI_0507:    53.4900017    
CSI_0508:    51.1100006    
CSI_0509:    48.3800011    
CSI_0510:    48.8199997    
CSI_0511:    51.4000015    
CSI_0512:    45.5999985    
CSI_0513:    45.3800011    
CSI_0514:    44.9599991    
CSI_0515:    45.3699989    
CSI_0516:    45.3400002    
CSI_0517:    44.7700005    
CSI_0518:    42.8199997    
CSI_0519:    43.4599991    
CSI_0520:    42.7700005    
CSI_0521:    38.4300003    
CSI_0522:    36.7400017    
CSI_0523:    36.2500000    
CSI_0524:    38.6599998    
CSI_0601:    39.5499992    
CSI_0602:    39.3800011    
CSI_0603:    45.6699982    
CSI_0604:    44.5400009    
CSI_0605:    39.8699989    
CSI_0606:    43.2500000    
CSI_0607:    42.5999985    
CSI_0608:    42.5200005    
CSI_0609:    38.4900017    
CSI_0610:    38.5400009    
CSI_0611:    38.8300018    
CSI_0612:    40.2900009    
CSI_0613:    34.6800003    
CSI_0614:    38.2099991    
CSI_0615:    35.8199997    
CSI_0616:    32.5299988    
CSI_0617:    38.2099991    
CSI_0618:    36.1399994    
CSI_0619:    36.0099983    
CSI_0620:    35.7799988    
CSI_0621:    28.3600006    
CSI_0622:    28.6200008    
CSI_0623:    29.9699993    
CSI_0624:    29.7999992    
CSI_0701:    39.2000008    
CSI_0702:    46.0600014    
CSI_0703:    45.4599991    
CSI_0704:    46.4000015    
CSI_0705:    45.6500015    
CSI_0706:    44.4900017    
CSI_0707:    44.0200005    
CSI_0708:    43.1199989    
CSI_0709:    44.0000000    
CSI_0710:    44.8699989    
CSI_0711:    39.2799988    
CSI_0712:    42.5000000    
CSI_0713:    39.0200005    
CSI_0714:    40.4900017    
CSI_0715:    38.5800018    
CSI_0716:    37.8300018    
CSI_0717:    41.3699989    
CSI_0718:    40.1500015    
CSI_0719:    35.5800018    
CSI_0720:    35.6300011    
CSI_0721:    36.5600014    
CSI_0722:    33.2599983    
CSI_0723:    30.6299992    
CSI_0724:    31.5100002    
CSI_0801:    34.0999985    
CSI_0802:    36.7099991    
CSI_0803:    41.3600006    
CSI_0804:    40.7799988    
CSI_0805:    39.4399986    
CSI_0806:    37.9300003    
CSI_0807:    39.4599991    
CSI_0808:    40.5900002    
CSI_0809:    37.3100014    
CSI_0810:    37.1800003    
CSI_0811:    37.2599983    
CSI_0812:    38.2000008    
CSI_0813:    33.0099983    
CSI_0814:    35.0000000    
CSI_0815:    32.7400017    
CSI_0816:    36.5099983    
CSI_0817:    34.0499992    
CSI_0818:    33.7500000    
CSI_0819:    30.6399994    
CSI_0820:    32.0900002    
CSI_0821:    28.7000008    
CSI_0822:    24.5499992    
CSI_0823:    27.6399994    
CSI_0824:    25.6700001    
CSI_0901:    32.4199982    
CSI_0902:    36.5699997    
CSI_0903:    38.5600014    
CSI_0904:    37.9799995    
CSI_0905:    37.2900009    
CSI_0906:    36.4199982    
CSI_0907:    39.2099991    
CSI_0908:    39.9900017    
CSI_0909:    37.5999985    
CSI_0910:    40.7299995    
CSI_0911:    37.0499992    
CSI_0912:    35.3499985    
CSI_0913:    31.8999996    
CSI_0914:    35.5699997    
CSI_0915:    34.5800018    
CSI_0916:    31.4300003    
CSI_0917:    32.0999985    
CSI_0918:    29.7099991    
CSI_0919:    29.3199997    
CSI_0920:    30.3500004    
CSI_0921:    27.4500008    
CSI_0922:    24.4599991    
CSI_0923:    22.9799995    
CSI_0924:    24.5400009    
CSI_1001:    35.6500015    
CSI_1002:    45.0600014    
CSI_1003:    42.5099983    
CSI_1004:    40.6899986    
CSI_1005:    39.6300011    
CSI_1006:    44.7400017    
CSI_1007:    40.7500000    
CSI_1008:    41.7799988    
CSI_1009:    40.4099998    
CSI_1010:    41.3300018    
CSI_1011:    42.6599998    
CSI_1012:    41.2299995    
CSI_1013:    38.9300003    
CSI_1014:    35.4900017    
CSI_1015:    39.3199997    
CSI_1016:    36.4199982    
CSI_1017:    37.2599983    
CSI_1018:    34.6500015    
CSI_1019:    37.5299988    
CSI_1020:    31.9400005    
CSI_1021:    29.6399994    
CSI_1022:    31.0000000    
CSI_1023:    27.7999992    
CSI_1024:    29.7700005    
CSI_1101:    36.7999992    
CSI_1102:    43.9599991    
CSI_1103:    47.5200005    
CSI_1104:    46.4099998    
CSI_1105:    39.6300011    
CSI_1106:    42.7299995    
CSI_1107:    44.1599998    
CSI_1108:    44.3400002    
CSI_1109:    39.0900002    
CSI_1110:    42.9099998    
CSI_1111:    39.7700005    
CSI_1112:    42.4700012    
CSI_1113:    35.0499992    
CSI_1114:    36.4300003    
CSI_1115:    37.4300003    
CSI_1116:    34.5800018    
CSI_1117:    35.5999985    
CSI_1118:    37.7799988    
CSI_1119:    38.3400002    
CSI_1120:    34.3400002    
CSI_1121:    33.2500000    
CSI_1122:    31.1599998    
CSI_1123:    28.5900002    
CSI_1124:    29.8099995    
CSI_1201:    42.3499985    
