SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1490-1596
CSI_0201:    42.2599983    
CSI_0203:    41.5099983    
CSI_0205:    41.5200005    
CSI_0207:    44.5900002    
CSI_0209:    38.6100006    
CSI_0211:    43.5200005    
CSI_0213:    37.8199997    
CSI_0215:    35.3199997    
CSI_0217:    35.2999992    
CSI_0219:    36.1599998    
CSI_0221:    28.9099998    
CSI_0223:    30.0300007    
CSI_0301:    36.0499992    
CSI_0302:    40.3899994    
CSI_0303:    41.2700005    
CSI_0304:    41.6500015    
CSI_0305:    40.5000000    
CSI_0306:    40.2999992    
CSI_0307:    41.3400002    
CSI_0308:    43.5900002    
CSI_0309:    41.9799995    
CSI_0310:    43.5200005    
CSI_0311:    43.5299988    
CSI_0312:    40.7900009    
CSI_0313:    36.5800018    
CSI_0314:    40.1100006    
CSI_0315:    38.4599991    
CSI_0316:    34.9099998    
CSI_0317:    34.5400009    
CSI_0318:    35.3300018    
CSI_0319:    33.6500015    
CSI_0320:    34.7999992    
CSI_0321:    27.3799992    
CSI_0322:    28.2399998    
CSI_0323:    31.6599998    
CSI_0324:    28.8299999    
CSI_0401:    37.3699989    
CSI_0402:    40.6599998    
CSI_0403:    38.5600014    
CSI_0404:    40.6599998    
CSI_0405:    37.3100014    
CSI_0406:    38.8300018    
CSI_0407:    41.5099983    
CSI_0408:    40.6300011    
CSI_0409:    39.7099991    
CSI_0410:    39.0699997    
CSI_0411:    38.6100006    
CSI_0412:    39.4399986    
CSI_0413:    34.3699989    
CSI_0414:    35.3699989    
CSI_0415:    33.5499992    
CSI_0416:    35.5900002    
CSI_0417:    33.2299995    
CSI_0418:    33.9099998    
CSI_0419:    34.9399986    
CSI_0420:    30.4599991    
CSI_0421:    25.0300007    
CSI_0422:    28.7999992    
CSI_0423:    26.3899994    
CSI_0424:    27.0499992    
CSI_0501:    48.5400009    
CSI_0502:    48.2999992    
CSI_0503:    54.5400009    
CSI_0504:    53.2000008    
CSI_0505:    52.7099991    
CSI_0506:    57.1300011    
CSI_0507:    55.4500008    
CSI_0508:    53.1500015    
CSI_0509:    50.2900009    
CSI_0510:    50.6300011    
CSI_0511:    53.1599998    
CSI_0512:    47.2000008    
CSI_0513:    46.8400002    
CSI_0514:    46.3699989    
CSI_0515:    46.6899986    
CSI_0516:    46.6599998    
CSI_0517:    46.1800003    
CSI_0518:    44.3800011    
CSI_0519:    44.8300018    
CSI_0520:    44.4900017    
CSI_0521:    40.1899986    
CSI_0522:    38.5200005    
CSI_0523:    38.0900002    
CSI_0524:    40.5699997    
CSI_0601:    41.3199997    
CSI_0602:    40.7000008    
CSI_0603:    47.1899986    
CSI_0604:    46.0800018    
CSI_0605:    41.4700012    
CSI_0606:    44.9300003    
CSI_0607:    44.4500008    
CSI_0608:    44.4300003    
CSI_0609:    40.3699989    
CSI_0610:    40.3699989    
CSI_0611:    40.5499992    
CSI_0612:    42.9700012    
CSI_0613:    36.1399994    
CSI_0614:    39.4500008    
CSI_0615:    37.0800018    
CSI_0616:    33.7700005    
CSI_0617:    39.4599991    
CSI_0618:    37.5299988    
CSI_0619:    37.4799995    
CSI_0620:    37.4700012    
CSI_0621:    29.8999996    
CSI_0622:    30.4099998    
CSI_0623:    31.6800003    
CSI_0624:    31.6000004    
CSI_0701:    40.9000015    
CSI_0702:    47.4700012    
CSI_0703:    46.9000015    
CSI_0704:    47.9599991    
CSI_0705:    47.4500008    
CSI_0706:    46.4199982    
CSI_0707:    45.9300003    
CSI_0708:    44.9599991    
CSI_0709:    45.9000015    
CSI_0710:    46.5800018    
CSI_0711:    40.7500000    
CSI_0712:    44.0400009    
CSI_0713:    40.4099998    
CSI_0714:    41.8100014    
CSI_0715:    39.8600006    
CSI_0716:    39.0800018    
CSI_0717:    42.7799988    
CSI_0718:    41.5600014    
CSI_0719:    37.1800003    
CSI_0720:    37.2799988    
CSI_0721:    38.3699989    
CSI_0722:    35.0299988    
CSI_0723:    32.5000000    
CSI_0724:    33.3499985    
CSI_0801:    35.8100014    
CSI_0802:    38.3400002    
CSI_0803:    42.7700005    
CSI_0804:    42.4500008    
CSI_0805:    41.1100006    
CSI_0806:    39.6199989    
CSI_0807:    41.3199997    
CSI_0808:    42.5299988    
CSI_0809:    39.1500015    
CSI_0810:    38.8899994    
CSI_0811:    38.9500008    
CSI_0812:    58.5299988    
CSI_0813:    34.4799995    
CSI_0814:    36.4099998    
CSI_0815:    34.1699982    
CSI_0816:    37.8699989    
CSI_0817:    35.3800011    
CSI_0818:    35.2000008    
CSI_0819:    32.1699982    
CSI_0820:    33.5499992    
CSI_0821:    30.2800007    
CSI_0822:    26.2500000    
CSI_0823:    29.2700005    
CSI_0824:    27.5599995    
CSI_0901:    34.1199989    
CSI_0902:    38.2799988    
CSI_0903:    40.0000000    
CSI_0904:    39.4199982    
CSI_0905:    38.7200012    
CSI_0906:    38.0699997    
CSI_0907:    40.8699989    
CSI_0908:    41.7500000    
CSI_0909:    39.4700012    
CSI_0910:    42.5800018    
CSI_0911:    38.7299995    
CSI_0912:    36.8400002    
CSI_0913:    33.3600006    
CSI_0914:    37.0099983    
CSI_0915:    35.9199982    
CSI_0916:    32.7400017    
CSI_0917:    33.4199982    
CSI_0918:    31.1900005    
CSI_0919:    30.7000008    
CSI_0920:    31.7500000    
CSI_0921:    28.9799995    
CSI_0922:    26.1000004    
CSI_0923:    24.5599995    
CSI_0924:    26.1900005    
CSI_1001:    37.4500008    
CSI_1002:    46.6199989    
CSI_1003:    44.1399994    
CSI_1004:    42.4199982    
CSI_1005:    41.4500008    
CSI_1006:    46.5900002    
CSI_1007:    42.7500000    
CSI_1008:    43.8100014    
CSI_1009:    42.4099998    
CSI_1010:    43.2000008    
CSI_1011:    44.5499992    
CSI_1012:    42.9099998    
CSI_1013:    40.5200005    
CSI_1014:    36.9700012    
CSI_1015:    40.8899994    
CSI_1016:    37.7799988    
CSI_1017:    38.7200012    
CSI_1018:    36.2500000    
CSI_1019:    39.2599983    
CSI_1020:    33.5999985    
CSI_1021:    31.3299999    
CSI_1022:    32.8899994    
CSI_1023:    29.6000004    
CSI_1024:    31.5599995    
CSI_1101:    38.6100006    
CSI_1102:    45.5499992    
CSI_1103:    49.1599998    
CSI_1104:    47.8899994    
CSI_1105:    41.4399986    
CSI_1106:    44.5900002    
CSI_1107:    46.0299988    
CSI_1108:    46.3400002    
CSI_1109:    40.9500008    
CSI_1110:    44.7500000    
CSI_1111:    41.5200005    
CSI_1112:    44.2299995    
CSI_1113:    36.5299988    
CSI_1114:    37.9399986    
CSI_1115:    38.6599998    
CSI_1116:    36.0000000    
CSI_1117:    37.0699997    
CSI_1118:    39.2200012    
CSI_1119:    39.7400017    
CSI_1120:    35.9099998    
CSI_1121:    35.0000000    
CSI_1122:    32.9500008    
CSI_1123:    30.3700008    
CSI_1124:    31.5599995    
CSI_1201:    44.0900002    
