SignalIn:                                R
SignalOut:                               R_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1112-1132
CSI_0201:    18.9899998    
CSI_0203:    18.0000000    
CSI_0205:    19.0000000    
CSI_0207:    20.0000000    
CSI_0209:    18.0000000    
CSI_0211:    19.0000000    
CSI_0213:    14.0000000    
CSI_0215:    14.0799999    
CSI_0217:    13.0799999    
CSI_0219:    12.0000000    
CSI_0221:    7.00000000    
CSI_0223:    6.00000000    
CSI_0301:    14.9300003    
CSI_0302:    19.8899994    
CSI_0303:    21.0000000    
CSI_0304:    21.0000000    
CSI_0305:    19.0000000    
CSI_0306:    20.0000000    
CSI_0307:    21.7299995    
CSI_0308:    21.0400009    
CSI_0309:    18.0000000    
CSI_0310:    20.0000000    
CSI_0311:    19.8799992    
CSI_0312:    18.0400009    
CSI_0313:    14.0000000    
CSI_0314:    15.3500004    
CSI_0315:    14.7200003    
CSI_0316:    13.0000000    
CSI_0317:    15.0000000    
CSI_0318:    15.0000000    
CSI_0319:    14.0200005    
CSI_0320:    15.0000000    
CSI_0321:    9.00000000    
CSI_0322:    7.94000006    
CSI_0323:    9.00000000    
CSI_0324:    9.00000000    
CSI_0401:    22.9799995    
CSI_0402:    25.0000000    
CSI_0403:    25.0000000    
CSI_0404:    27.0000000    
CSI_0405:    24.0000000    
CSI_0406:    27.0000000    
CSI_0407:    27.1100006    
CSI_0408:    26.0000000    
CSI_0409:    26.0000000    
CSI_0410:    27.0000000    
CSI_0411:    26.9400005    
CSI_0412:    27.9699993    
CSI_0413:    23.0000000    
CSI_0414:    22.1000004    
CSI_0415:    21.9899998    
CSI_0416:    24.0100002    
CSI_0417:    21.0000000    
CSI_0418:    20.0000000    
CSI_0419:    21.0000000    
CSI_0420:    18.0100002    
CSI_0421:    13.2500000    
CSI_0422:    16.0000000    
CSI_0423:    13.4200001    
CSI_0424:    15.0000000    
CSI_0501:    21.0799999    
CSI_0502:    25.6200008    
CSI_0503:    27.5599995    
CSI_0504:    25.6700001    
CSI_0505:    25.9200001    
CSI_0506:    29.0000000    
CSI_0507:    27.0900002    
CSI_0508:    27.0000000    
CSI_0509:    24.6599998    
CSI_0510:    25.0100002    
CSI_0511:    27.0000000    
CSI_0512:    21.8500004    
CSI_0513:    21.0000000    
CSI_0514:    20.0100002    
CSI_0515:    23.0000000    
CSI_0516:    21.0000000    
CSI_0517:    21.0000000    
CSI_0518:    19.0000000    
CSI_0519:    19.0000000    
CSI_0520:    18.0100002    
CSI_0521:    15.0699997    
CSI_0522:    13.0000000    
CSI_0523:    12.9700003    
CSI_0524:    14.0000000    
CSI_0601:    25.0100002    
CSI_0602:    26.9200001    
CSI_0603:    32.0000000    
CSI_0604:    30.8400002    
CSI_0605:    26.0200005    
CSI_0606:    29.1299992    
CSI_0607:    29.8799992    
CSI_0608:    27.9899998    
CSI_0609:    25.2399998    
CSI_0610:    27.0000000    
CSI_0611:    27.3899994    
CSI_0612:    28.0000000    
CSI_0613:    23.0000000    
CSI_0614:    24.2399998    
CSI_0615:    23.0000000    
CSI_0616:    20.4200001    
CSI_0617:    23.0000000    
CSI_0618:    22.8899994    
CSI_0619:    21.0100002    
CSI_0620:    21.0000000    
CSI_0621:    17.0000000    
CSI_0622:    16.2500000    
CSI_0623:    16.4899998    
CSI_0624:    15.6899996    
CSI_0701:    21.1700001    
CSI_0702:    28.9899998    
CSI_0703:    29.0000000    
CSI_0704:    29.4899998    
CSI_0705:    28.6100006    
CSI_0706:    28.0000000    
CSI_0707:    27.4899998    
CSI_0708:    25.9899998    
CSI_0709:    27.0000000    
CSI_0710:    27.9799995    
CSI_0711:    24.0000000    
CSI_0712:    26.0000000    
CSI_0713:    22.0000000    
CSI_0714:    24.0000000    
CSI_0715:    22.0000000    
CSI_0716:    21.0000000    
CSI_0717:    24.2299995    
CSI_0718:    22.0100002    
CSI_0719:    19.8299999    
CSI_0720:    18.1499996    
CSI_0721:    21.0000000    
CSI_0722:    17.0000000    
CSI_0723:    15.9700003    
CSI_0724:    16.0000000    
CSI_0801:    23.3999996    
CSI_0802:    26.0000000    
CSI_0803:    29.0000000    
CSI_0804:    30.0000000    
CSI_0805:    28.0000000    
CSI_0806:    26.9699993    
CSI_0807:    27.0000000    
CSI_0808:    30.0000000    
CSI_0809:    26.0000000    
CSI_0810:    27.0000000    
CSI_0811:    27.0000000    
CSI_0812:    27.1599998    
CSI_0813:    23.9799995    
CSI_0814:    24.0000000    
CSI_0815:    21.3600006    
CSI_0816:    23.2199993    
CSI_0817:    21.4400005    
CSI_0818:    23.0000000    
CSI_0819:    20.0000000    
CSI_0820:    21.0000000    
CSI_0821:    16.8899994    
CSI_0822:    14.0000000    
CSI_0823:    16.0000000    
CSI_0824:    17.0000000    
CSI_0901:    25.0000000    
CSI_0902:    27.0000000    
CSI_0903:    29.9699993    
CSI_0904:    30.0000000    
CSI_0905:    28.9799995    
CSI_0906:    29.0000000    
CSI_0907:    29.9300003    
CSI_0908:    30.0000000    
CSI_0909:    29.0100002    
CSI_0910:    32.0000000    
CSI_0911:    28.7700005    
CSI_0912:    27.9200001    
CSI_0913:    25.0000000    
CSI_0914:    25.0200005    
CSI_0915:    25.9599991    
CSI_0916:    23.8799992    
CSI_0917:    23.0000000    
CSI_0918:    22.0000000    
CSI_0919:    22.0000000    
CSI_0920:    21.9899998    
CSI_0921:    19.3199997    
CSI_0922:    18.1800003    
CSI_0923:    15.5600004    
CSI_0924:    16.9699993    
CSI_1001:    22.2800007    
CSI_1002:    32.0000000    
CSI_1003:    30.7999992    
CSI_1004:    30.0000000    
CSI_1005:    30.0000000    
CSI_1006:    32.0000000    
CSI_1007:    31.0000000    
CSI_1008:    30.0000000    
CSI_1009:    27.0000000    
CSI_1010:    29.1000004    
CSI_1011:    31.0000000    
CSI_1012:    29.0000000    
CSI_1013:    24.9899998    
CSI_1014:    23.6700001    
CSI_1015:    27.0000000    
CSI_1016:    22.0000000    
CSI_1017:    26.0100002    
CSI_1018:    24.0000000    
CSI_1019:    25.0000000    
CSI_1020:    22.0000000    
CSI_1021:    16.0000000    
CSI_1022:    17.0000000    
CSI_1023:    16.0000000    
CSI_1024:    17.8500004    
CSI_1101:    20.8700008    
CSI_1102:    26.9899998    
CSI_1103:    30.0000000    
CSI_1104:    29.0000000    
CSI_1105:    23.0000000    
CSI_1106:    27.4400005    
CSI_1107:    27.4699993    
CSI_1108:    28.0000000    
CSI_1109:    23.0799999    
CSI_1110:    27.0000000    
CSI_1111:    24.0000000    
CSI_1112:    27.0000000    
CSI_1113:    20.1000004    
CSI_1114:    21.0000000    
CSI_1115:    20.9899998    
CSI_1116:    18.5000000    
CSI_1117:    17.9200001    
CSI_1118:    20.0200005    
CSI_1119:    19.7900009    
CSI_1120:    16.0000000    
CSI_1121:    14.9300003    
CSI_1122:    13.0000000    
CSI_1123:    12.0000000    
CSI_1124:    12.0000000    
CSI_1201:    25.0000000    
CSI_1202:    31.3199997    
CSI_1203:    31.1000004    
CSI_1204:    32.9900017    
CSI_1205:    27.0000000    
CSI_1206:    34.8199997    
CSI_1207:    30.0499992    
CSI_1208:    29.0000000    
CSI_1209:    27.0799999    
CSI_1210:    31.4300003    
CSI_1211:    31.4899998    
CSI_1212:    30.0000000    
CSI_1213:    23.0000000    
CSI_1214:    23.0000000    
CSI_1215:    27.0000000    
CSI_1216:    25.0000000    
CSI_1217:    25.0000000    
CSI_1218:    27.0000000    
CSI_1219:    23.0000000    
CSI_1220:    25.3400002    
CSI_1221:    20.0000000    
CSI_1222:    18.9699993    
CSI_1223:    18.1399994    
CSI_1224:    14.4799995    
CSI_1301:    22.4099998    
CSI_1304:    29.9899998    
CSI_1307:    28.0400009    
CSI_1310:    27.0000000    
CSI_1313:    26.0300007    
CSI_1316:    28.7000008    
CSI_1319:    29.0000000    
CSI_1322:    28.0000000    
CSI_1302:    26.0000000    
CSI_1305:    28.9699993    
CSI_1308:    27.0000000    
CSI_1311:    27.7999992    
CSI_1314:    24.0499992    
CSI_1317:    23.0000000    
CSI_1320:    24.0000000    
CSI_1323:    22.0000000    
CSI_1303:    20.0000000    
CSI_1306:    22.0000000    
CSI_1309:    22.0000000    
CSI_1312:    22.0000000    
CSI_1315:    14.0000000    
CSI_1318:    15.0000000    
CSI_1321:    16.0000000    
CSI_1324:    15.0000000    
CSI_1401:    13.9700003    
CSI_1403:    17.0100002    
CSI_1405:    17.6499996    
CSI_1407:    18.0300007    
CSI_1409:    16.0000000    
CSI_1411:    16.0000000    
CSI_1413:    16.7800007    
CSI_1415:    15.6899996    
CSI_1402:    14.7299995    
CSI_1404:    18.3600006    
CSI_1406:    18.0000000    
CSI_1408:    19.0000000    
CSI_1410:    12.7500000    
CSI_1412:    14.0900002    
CSI_1414:    14.0600004    
CSI_1416:    12.0500002    
CSI_1501:    15.0000000    
CSI_1503:    14.0200005    
CSI_1505:    14.0000000    
CSI_1507:    13.4600000    
CSI_1509:    9.00000000    
CSI_1511:    9.00000000    
CSI_1513:    8.03999996    
CSI_1515:    7.00000000    
CSI_1502:    26.7000008    
CSI_1504:    30.1499996    
CSI_1506:    32.6599998    
CSI_1508:    29.0000000    
CSI_1510:    30.0000000    
CSI_1512:    30.9799995    
CSI_1514:    32.0200005    
CSI_1516:    32.2400017    
CSI_1601:    30.0000000    
CSI_1602:    33.0999985    
CSI_1603:    32.6800003    
CSI_1604:    32.0000000    
CSI_1605:    28.0000000    
CSI_1606:    29.2299995    
CSI_1607:    28.9799995    
CSI_1608:    26.0000000    
CSI_1701:    25.0000000    
CSI_1702:    28.9400005    
