SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1112-1132
CSI_0201:    39.6300011    
CSI_0203:    38.8400002    
CSI_0205:    38.6399994    
CSI_0207:    41.5200005    
CSI_0209:    35.7500000    
CSI_0211:    40.7400017    
CSI_0213:    35.5400009    
CSI_0215:    33.0000000    
CSI_0217:    32.8699989    
CSI_0219:    33.4599991    
CSI_0221:    26.3700008    
CSI_0223:    27.5300007    
CSI_0301:    33.1599998    
CSI_0302:    37.8400002    
CSI_0303:    38.7000008    
CSI_0304:    39.2400017    
CSI_0305:    36.4900017    
CSI_0306:    37.5000000    
CSI_0307:    38.4399986    
CSI_0308:    40.6500015    
CSI_0309:    38.9500008    
CSI_0310:    40.6899986    
CSI_0311:    40.7500000    
CSI_0312:    38.2599983    
CSI_0313:    34.1100006    
CSI_0314:    37.7000008    
CSI_0315:    36.0000000    
CSI_0316:    32.6199989    
CSI_0317:    32.2299995    
CSI_0318:    33.0299988    
CSI_0319:    31.2199993    
CSI_0320:    32.3600006    
CSI_0321:    24.7500000    
CSI_0322:    25.7199993    
CSI_0323:    29.0300007    
CSI_0324:    26.2000008    
CSI_0401:    34.5600014    
CSI_0402:    38.2799988    
CSI_0403:    35.9500008    
CSI_0404:    38.2400017    
CSI_0405:    34.6300011    
CSI_0406:    36.1699982    
CSI_0407:    38.4500008    
CSI_0408:    37.7000008    
CSI_0409:    36.9099998    
CSI_0410:    36.2299995    
CSI_0411:    35.7500000    
CSI_0412:    36.6199989    
CSI_0413:    31.7800007    
CSI_0414:    32.9099998    
CSI_0415:    31.1900005    
CSI_0416:    33.2599983    
CSI_0417:    30.9200001    
CSI_0418:    31.5200005    
CSI_0419:    32.5099983    
CSI_0420:    27.9400005    
CSI_0421:    22.6000004    
CSI_0422:    26.3199997    
CSI_0423:    23.9099998    
CSI_0424:    24.4599991    
CSI_0501:    45.6199989    
CSI_0502:    45.6199989    
CSI_0503:    52.0999985    
CSI_0504:    50.5299988    
CSI_0505:    49.9799995    
CSI_0506:    54.1500015    
CSI_0507:    52.4000015    
CSI_0508:    50.0099983    
CSI_0509:    47.3100014    
CSI_0510:    47.6800003    
CSI_0511:    50.3300018    
CSI_0512:    44.5900002    
CSI_0513:    44.4000015    
CSI_0514:    43.9799995    
CSI_0515:    44.3400002    
CSI_0516:    44.3199997    
CSI_0517:    43.7400017    
CSI_0518:    41.8199997    
CSI_0519:    42.4799995    
CSI_0520:    41.7900009    
CSI_0521:    37.4799995    
CSI_0522:    35.8800011    
CSI_0523:    35.3699989    
CSI_0524:    37.7900009    
CSI_0601:    38.5400009    
CSI_0602:    38.4399986    
CSI_0603:    44.7200012    
CSI_0604:    43.5400009    
CSI_0605:    38.9000015    
CSI_0606:    42.1500015    
CSI_0607:    41.5299988    
CSI_0608:    41.4900017    
CSI_0609:    37.4799995    
CSI_0610:    37.5000000    
CSI_0611:    37.7599983    
CSI_0612:    40.4000015    
CSI_0613:    33.7500000    
CSI_0614:    37.2200012    
CSI_0615:    34.8899994    
CSI_0616:    31.5799999    
CSI_0617:    37.2500000    
CSI_0618:    35.1500015    
CSI_0619:    35.0200005    
CSI_0620:    34.8400002    
CSI_0621:    27.4599991    
CSI_0622:    27.7399998    
CSI_0623:    29.0100002    
CSI_0624:    29.0300007    
CSI_0701:    38.1899986    
CSI_0702:    45.1699982    
CSI_0703:    44.5000000    
CSI_0704:    45.3800011    
CSI_0705:    44.6199989    
CSI_0706:    43.4500008    
CSI_0707:    42.8100014    
CSI_0708:    42.0499992    
CSI_0709:    42.9799995    
CSI_0710:    43.7999992    
CSI_0711:    38.2500000    
CSI_0712:    41.4700012    
CSI_0713:    38.0499992    
CSI_0714:    39.4700012    
CSI_0715:    37.5800018    
CSI_0716:    36.8600006    
CSI_0717:    40.3600006    
CSI_0718:    39.1699982    
CSI_0719:    34.6300011    
CSI_0720:    34.6800003    
CSI_0721:    35.6199989    
CSI_0722:    32.3499985    
CSI_0723:    29.7600002    
CSI_0724:    30.6299992    
CSI_0801:    33.0800018    
CSI_0802:    35.7500000    
CSI_0803:    40.3899994    
CSI_0804:    39.7900009    
CSI_0805:    38.4700012    
CSI_0806:    36.9199982    
CSI_0807:    38.4500008    
CSI_0808:    39.5400009    
CSI_0809:    36.3100014    
CSI_0810:    36.1399994    
CSI_0811:    36.2000008    
CSI_0812:    37.1100006    
CSI_0813:    32.0400009    
CSI_0814:    34.0099983    
CSI_0815:    31.7800007    
CSI_0816:    35.4900017    
CSI_0817:    33.0999985    
CSI_0818:    32.7900009    
CSI_0819:    29.7099991    
CSI_0820:    31.1800003    
CSI_0821:    27.8899994    
CSI_0822:    23.6900005    
CSI_0823:    26.8799992    
CSI_0824:    24.8099995    
CSI_0901:    31.3799992    
CSI_0902:    35.5499992    
CSI_0903:    37.5800018    
CSI_0904:    37.0600014    
CSI_0905:    36.3400002    
CSI_0906:    35.3899994    
CSI_0907:    38.0699997    
CSI_0908:    38.8899994    
CSI_0909:    36.5900002    
CSI_0910:    39.6300011    
CSI_0911:    36.0000000    
CSI_0912:    34.3100014    
CSI_0913:    30.9200001    
CSI_0914:    34.5699997    
CSI_0915:    33.5699997    
CSI_0916:    30.4500008    
CSI_0917:    31.1299992    
CSI_0918:    28.7999992    
CSI_0919:    28.3500004    
CSI_0920:    29.3700008    
CSI_0921:    26.5300007    
CSI_0922:    23.5799999    
CSI_0923:    22.0499992    
CSI_0924:    23.7199993    
CSI_1001:    34.6500015    
CSI_1002:    44.0000000    
CSI_1003:    41.5200005    
CSI_1004:    39.6599998    
CSI_1005:    38.6399994    
CSI_1006:    43.6800003    
CSI_1007:    39.6500015    
CSI_1008:    40.6899986    
CSI_1009:    39.3699989    
CSI_1010:    40.2599983    
CSI_1011:    41.5600014    
CSI_1012:    40.0999985    
CSI_1013:    37.9300003    
CSI_1014:    34.5000000    
CSI_1015:    38.2799988    
CSI_1016:    35.4099998    
CSI_1017:    36.2500000    
CSI_1018:    33.6300011    
CSI_1019:    36.5299988    
CSI_1020:    30.9799995    
CSI_1021:    28.8600006    
CSI_1022:    30.0799999    
CSI_1023:    27.0499992    
CSI_1024:    28.9599991    
CSI_1101:    35.7599983    
CSI_1102:    42.9700012    
CSI_1103:    46.5200005    
CSI_1104:    45.3699989    
CSI_1105:    38.6500015    
CSI_1106:    41.6399994    
CSI_1107:    43.0200005    
CSI_1108:    43.2500000    
CSI_1109:    38.0499992    
CSI_1110:    41.7400017    
CSI_1111:    38.7000008    
CSI_1112:    41.4300003    
CSI_1113:    34.0999985    
CSI_1114:    35.4099998    
CSI_1115:    36.4700012    
CSI_1116:    33.5600014    
CSI_1117:    34.5999985    
CSI_1118:    36.7700005    
CSI_1119:    37.3499985    
CSI_1120:    33.3699989    
CSI_1121:    32.3899994    
CSI_1122:    30.3099995    
CSI_1123:    27.7199993    
CSI_1124:    28.9799995    
CSI_1201:    41.2999992    
