SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1259-1310
CSI_1105:    40.9700012    
CSI_1106:    44.1800003    
CSI_1107:    45.3899994    
CSI_1108:    45.5600014    
CSI_1109:    40.3800011    
CSI_1110:    44.3199997    
CSI_1111:    41.1399994    
CSI_1112:    43.7099991    
CSI_1113:    36.3899994    
CSI_1114:    37.9500008    
CSI_1115:    38.6399994    
CSI_1116:    35.8800011    
CSI_1117:    36.9799995    
CSI_1118:    39.0499992    
CSI_1119:    39.5299988    
CSI_1120:    35.5499992    
CSI_1121:    34.6199989    
CSI_1122:    32.4700012    
CSI_1123:    29.8899994    
CSI_1124:    31.0300007    
CSI_1201:    43.5999985    
CSI_1202:    52.5000000    
CSI_1203:    47.6500015    
CSI_1204:    50.6699982    
CSI_1205:    43.4500008    
CSI_1206:    53.6699982    
CSI_1207:    47.0099983    
CSI_1208:    46.4300003    
CSI_1209:    42.7000008    
CSI_1210:    49.1599998    
CSI_1211:    50.5600014    
CSI_1212:    47.6100006    
CSI_1213:    39.1800003    
CSI_1214:    40.0099983    
CSI_1215:    44.3199997    
CSI_1216:    41.8699989    
CSI_1217:    41.9799995    
CSI_1218:    40.5999985    
CSI_1219:    39.1800003    
CSI_1220:    44.3600006    
CSI_1221:    36.1599998    
CSI_1222:    34.8800011    
CSI_1223:    35.2400017    
CSI_1224:    30.1499996    
CSI_1301:    41.4700012    
CSI_1304:    47.8800011    
CSI_1307:    46.2900009    
CSI_1310:    44.4500008    
CSI_1313:    44.0000000    
CSI_1316:    46.6500015    
CSI_1319:    47.9000015    
CSI_1322:    45.9500008    
CSI_1302:    44.3199997    
CSI_1305:    46.2900009    
CSI_1308:    44.5299988    
CSI_1311:    46.0400009    
CSI_1314:    43.7999992    
CSI_1317:    41.9000015    
CSI_1320:    41.6100006    
CSI_1323:    39.5900002    
CSI_1303:    37.8300018    
CSI_1306:    39.9199982    
CSI_1309:    41.5999985    
CSI_1312:    40.6500015    
CSI_1315:    33.7900009    
CSI_1318:    33.0400009    
CSI_1321:    34.1300011    
CSI_1324:    32.8100014    
CSI_1401:    39.7200012    
CSI_1403:    42.6800003    
CSI_1405:    43.9199982    
CSI_1407:    45.3800011    
CSI_1409:    42.5099983    
CSI_1411:    41.8499985    
CSI_1413:    41.4599991    
CSI_1415:    39.9000015    
CSI_1402:    38.9799995    
CSI_1404:    43.4500008    
CSI_1406:    42.4300003    
CSI_1408:    44.5200005    
CSI_1410:    37.5400009    
CSI_1412:    39.1199989    
CSI_1414:    39.5699997    
CSI_1416:    36.2799988    
CSI_1501:    40.3800011    
CSI_1503:    38.7400017    
CSI_1505:    38.3400002    
CSI_1507:    38.1199989    
CSI_1509:    33.3400002    
CSI_1511:    35.7200012    
CSI_1513:    32.2500000    
CSI_1515:    30.6200008    
CSI_1502:    44.2700005    
CSI_1504:    48.6500015    
CSI_1506:    50.5900002    
CSI_1508:    47.5000000    
CSI_1510:    47.5299988    
CSI_1512:    46.4000015    
CSI_1514:    50.4099998    
CSI_1516:    51.7099991    
CSI_1601:    48.6399994    
CSI_1602:    51.5900002    
CSI_1603:    51.2599983    
CSI_1604:    48.4900017    
CSI_1605:    47.2999992    
CSI_1606:    48.8899994    
CSI_1607:    47.0400009    
CSI_1608:    45.3199997    
CSI_1701:    44.5800018    
CSI_1702:    47.1399994    
CSI_1703:    45.6100006    
CSI_1704:    42.9900017    
CSI_1705:    37.8100014    
CSI_1706:    40.2299995    
CSI_1707:    39.8499985    
CSI_1708:    35.1500015    
