SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1202-1258
CSI_0201:    41.1599998    
CSI_0203:    40.4099998    
CSI_0205:    40.4099998    
CSI_0207:    43.2700005    
CSI_0209:    37.4500008    
CSI_0211:    42.5200005    
CSI_0213:    37.2999992    
CSI_0215:    34.6199989    
CSI_0217:    34.5299988    
CSI_0219:    35.1699982    
CSI_0221:    27.9899998    
CSI_0223:    29.0300007    
CSI_0301:    34.7400017    
CSI_0302:    39.3300018    
CSI_0303:    40.1699982    
CSI_0304:    40.5699997    
CSI_0305:    39.2200012    
CSI_0306:    39.0900002    
CSI_0307:    40.0000000    
CSI_0308:    42.3800011    
CSI_0309:    40.4900017    
CSI_0310:    42.3300018    
CSI_0311:    42.3699989    
CSI_0312:    39.6699982    
CSI_0313:    35.5499992    
CSI_0314:    39.3400002    
CSI_0315:    37.8699989    
CSI_0316:    34.1199989    
CSI_0317:    33.6399994    
CSI_0318:    34.5200005    
CSI_0319:    32.7299995    
CSI_0320:    33.8400002    
CSI_0321:    26.2299995    
CSI_0322:    27.1399994    
CSI_0323:    30.5400009    
CSI_0324:    27.5599995    
CSI_0401:    36.2400017    
CSI_0402:    39.5699997    
CSI_0403:    37.4399986    
CSI_0404:    39.5699997    
CSI_0405:    36.2799988    
CSI_0406:    37.6199989    
CSI_0407:    40.2200012    
CSI_0408:    39.3499985    
CSI_0409:    38.5000000    
CSI_0410:    37.7500000    
CSI_0411:    37.4700012    
CSI_0412:    38.3800011    
CSI_0413:    33.4199982    
CSI_0414:    34.5000000    
CSI_0415:    32.7299995    
CSI_0416:    34.8199997    
CSI_0417:    32.4599991    
CSI_0418:    33.1500015    
CSI_0419:    34.1100006    
CSI_0420:    29.4899998    
CSI_0421:    24.1200008    
CSI_0422:    27.8600006    
CSI_0423:    25.3400002    
CSI_0424:    25.9899998    
CSI_0501:    47.3400002    
CSI_0502:    47.2500000    
CSI_0503:    53.4799995    
CSI_0504:    52.1500015    
CSI_0505:    51.5600014    
CSI_0506:    55.7400017    
CSI_0507:    54.0999985    
CSI_0508:    51.6800003    
CSI_0509:    48.8800011    
CSI_0510:    49.4099998    
CSI_0511:    51.9399986    
CSI_0512:    46.2099991    
CSI_0513:    46.0200005    
CSI_0514:    45.5499992    
CSI_0515:    46.0299988    
CSI_0516:    45.9500008    
CSI_0517:    45.4099998    
CSI_0518:    43.4900017    
CSI_0519:    43.9000015    
CSI_0520:    43.4599991    
CSI_0521:    39.0900002    
CSI_0522:    37.4399986    
CSI_0523:    36.9700012    
CSI_0524:    39.3199997    
CSI_0601:    40.2900009    
CSI_0602:    39.6899986    
CSI_0603:    46.2799988    
CSI_0604:    45.0800018    
CSI_0605:    40.4500008    
CSI_0606:    43.6800003    
CSI_0607:    43.2599983    
CSI_0608:    43.2500000    
CSI_0609:    39.2000008    
CSI_0610:    39.2000008    
CSI_0611:    39.4700012    
CSI_0612:    42.0499992    
CSI_0613:    35.3899994    
CSI_0614:    38.7099991    
CSI_0615:    36.4599991    
CSI_0616:    33.1899986    
CSI_0617:    38.8400002    
CSI_0618:    36.7999992    
CSI_0619:    36.6100006    
CSI_0620:    36.5200005    
CSI_0621:    29.0000000    
CSI_0622:    29.3700008    
CSI_0623:    30.5799999    
CSI_0624:    30.5200005    
CSI_0701:    39.7700005    
CSI_0702:    46.4799995    
CSI_0703:    45.8899994    
CSI_0704:    46.8499985    
CSI_0705:    46.3499985    
CSI_0706:    45.2099991    
CSI_0707:    44.5699997    
CSI_0708:    43.6300011    
CSI_0709:    44.6100006    
CSI_0710:    45.4599991    
CSI_0711:    39.6899986    
CSI_0712:    43.1699982    
CSI_0713:    39.5999985    
CSI_0714:    41.1300011    
CSI_0715:    39.2500000    
CSI_0716:    38.4599991    
CSI_0717:    42.0699997    
CSI_0718:    40.7299995    
CSI_0719:    36.2900009    
CSI_0720:    36.3199997    
CSI_0721:    37.2900009    
CSI_0722:    33.9099998    
CSI_0723:    31.3600006    
CSI_0724:    32.1300011    
CSI_0801:    34.6899986    
CSI_0802:    37.3300018    
CSI_0803:    41.7000008    
CSI_0804:    41.4300003    
CSI_0805:    40.0699997    
CSI_0806:    38.5200005    
CSI_0807:    40.1399994    
CSI_0808:    41.3100014    
CSI_0809:    37.8699989    
CSI_0810:    37.7000008    
CSI_0811:    37.7999992    
CSI_0812:    57.4399986    
CSI_0813:    33.6199989    
CSI_0814:    35.6300011    
CSI_0815:    33.4300003    
CSI_0816:    37.2500000    
CSI_0817:    34.6399994    
CSI_0818:    34.4599991    
CSI_0819:    31.3600006    
CSI_0820:    32.6500015    
CSI_0821:    29.3299999    
CSI_0822:    25.2900009    
CSI_0823:    28.2700005    
CSI_0824:    26.4500008    
CSI_0901:    33.0200005    
CSI_0902:    37.2200012    
CSI_0903:    39.0699997    
CSI_0904:    38.4799995    
CSI_0905:    37.7299995    
CSI_0906:    36.8899994    
CSI_0907:    39.5999985    
CSI_0908:    40.5600014    
CSI_0909:    38.3400002    
CSI_0910:    41.4700012    
CSI_0911:    37.5999985    
CSI_0912:    35.8199997    
CSI_0913:    32.5299988    
CSI_0914:    36.2700005    
CSI_0915:    35.2299995    
CSI_0916:    32.1599998    
CSI_0917:    32.6699982    
CSI_0918:    30.3999996    
CSI_0919:    29.9200001    
CSI_0920:    30.8899994    
CSI_0921:    28.1299992    
CSI_0922:    25.1100006    
CSI_0923:    23.5499992    
CSI_0924:    25.1599998    
CSI_1001:    36.3300018    
CSI_1002:    45.5000000    
CSI_1003:    42.9399986    
CSI_1004:    41.3600006    
CSI_1005:    40.3600006    
CSI_1006:    45.4199982    
CSI_1007:    41.4399986    
CSI_1008:    42.4500008    
CSI_1009:    41.0499992    
CSI_1010:    41.7099991    
CSI_1011:    43.4000015    
CSI_1012:    41.6899986    
CSI_1013:    39.5499992    
CSI_1014:    36.1300011    
CSI_1015:    39.9900017    
CSI_1016:    36.9500008    
CSI_1017:    37.9399986    
CSI_1018:    35.3699989    
CSI_1019:    38.2900009    
CSI_1020:    32.5800018    
CSI_1021:    30.3500004    
CSI_1022:    31.8099995    
CSI_1023:    28.5100002    
CSI_1024:    30.4099998    
CSI_1101:    37.4599991    
CSI_1102:    44.4500008    
CSI_1103:    48.0099983    
CSI_1104:    46.7400017    
CSI_1105:    40.3899994    
CSI_1106:    43.4099998    
CSI_1107:    44.6100006    
CSI_1108:    44.7400017    
CSI_1109:    39.6100006    
CSI_1110:    43.5000000    
CSI_1111:    40.4300003    
CSI_1112:    43.1800003    
CSI_1113:    35.6300011    
CSI_1114:    37.0000000    
CSI_1115:    38.0299988    
CSI_1116:    35.3199997    
CSI_1117:    36.3199997    
CSI_1118:    38.4199982    
CSI_1119:    38.8600006    
CSI_1120:    34.9599991    
CSI_1121:    34.0000000    
CSI_1122:    31.8899994    
CSI_1123:    29.2399998    
CSI_1124:    30.4200001    
CSI_1201:    42.9399986    
